ladder,market,menu
frozen_8_to_0.25,us,0.55|1.46535|5.45961|23.5|37.5|65
frozen_8_to_0.25,de,0.55|2.82915|8.59843|23.5|90|185
frozen_8_to_0.25,jp,0.55|2.82915|8.59843|17.5|45|75
anchor12_12_to_0.375,us,0.05|0.55|2.82915|11.9475|27.1635|55.8974
anchor12_12_to_0.375,de,0.05|1.46535|4.18459|11.9475|50.8974|125
anchor12_12_to_0.375,jp,0.05|0.55|4.18459|11.9475|28.4135|65
anchor6_6_to_0.1875,us,0.55|2.82915|11.9475|27.1635|55.8974|75
anchor6_6_to_0.1875,de,1.46535|4.18459|11.9475|50.8974|125|185
anchor6_6_to_0.1875,jp,0.55|4.18459|11.9475|28.4135|65|75
span_12_to_1,us,0.05|0.55|2.82915|11.9475|23.5
span_12_to_1,de,0.05|1.46535|4.18459|11.9475|23.5
span_12_to_1,jp,0.05|0.55|4.18459|11.9475|17.5
span_6_to_0.5,us,0.55|2.82915|11.9475|27.1635|37.5
span_6_to_0.5,de,1.46535|4.18459|11.9475|50.8974|90
span_6_to_0.5,jp,0.55|4.18459|11.9475|28.4135|45
sqrt2_8_to_0.25_11rungs,us,0.55|1.46535|1.46535|2.82915|5.45961|11.9475|23.5|27.1635|37.5|55.8974|65
sqrt2_8_to_0.25_11rungs,de,0.55|1.46535|2.82915|4.82079|8.59843|14.4475|23.5|50.8974|90|125|185
sqrt2_8_to_0.25_11rungs,jp,0.55|1.46535|2.82915|4.18459|8.59843|11.9475|17.5|28.4135|45|65|75
