ladder,arm,market,menu,turnover,shu_turnover,worst_rel,worst_cell,grade
frozen_8_to_0.25,full,us,0.55|1.46535|5.45961|23.5|37.5|65,0.7061295971978985,0.44,0.6048399936315875,turnover,F
frozen_8_to_0.25,full,de,0.55|2.82915|8.59843|23.5|90|185,1.2597070448732852,1.7,0.5542703189933631,calmar,D
frozen_8_to_0.25,full,jp,0.55|2.82915|8.59843|17.5|45|75,1.28478886756238,0.72,0.7844289827255279,turnover,F
frozen_8_to_0.25,truncated,us,0.55|1.46535|5.45961|23.5|37.5,0.6472854640980735,0.44,0.47110332749562167,turnover,D
frozen_8_to_0.25,truncated,de,0.55|2.82915|8.59843|23.5|90,1.2304115322018137,1.7,0.27622851046952135,turnover,C
frozen_8_to_0.25,truncated,jp,0.55|2.82915|8.59843|17.5|45,1.5568618042226487,0.72,1.1623080614203456,turnover,F
anchor12_12_to_0.375,full,us,0.05|0.55|2.82915|11.9475|27.1635|55.8974,0.7061295971978985,0.44,0.6048399936315875,turnover,F
anchor12_12_to_0.375,full,de,0.05|1.46535|4.18459|11.9475|50.8974|125,1.3182980702162288,1.7,0.6257597560304068,calmar,F
anchor12_12_to_0.375,full,jp,0.05|0.55|4.18459|11.9475|28.4135|65,1.7080134357005758,0.72,1.3722408829174666,turnover,F
anchor12_12_to_0.375,truncated,us,0.05|0.55|2.82915|11.9475|27.1635,0.7649737302977233,0.44,0.7385766597675529,turnover,F
anchor12_12_to_0.375,truncated,de,0.05|1.46535|4.18459|11.9475|50.8974,1.3182980702162288,1.7,0.603445134635449,calmar,F
anchor12_12_to_0.375,truncated,jp,0.05|0.55|4.18459|11.9475|28.4135,2.6451535508637236,0.72,2.673824376199616,turnover,F
anchor6_6_to_0.1875,full,us,0.55|2.82915|11.9475|27.1635|55.8974|75,0.7061295971978985,0.44,0.6048399936315875,turnover,F
anchor6_6_to_0.1875,full,de,1.46535|4.18459|11.9475|50.8974|125|185,1.1425249941873983,1.7,0.5476926233236642,calmar,D
anchor6_6_to_0.1875,full,jp,0.55|4.18459|11.9475|28.4135|65|75,1.1336372360844529,0.72,0.7485369635285696,calmar,F
anchor6_6_to_0.1875,truncated,us,0.55|2.82915|11.9475|27.1635|55.8974,0.7061295971978985,0.44,0.6048399936315875,turnover,F
anchor6_6_to_0.1875,truncated,de,1.46535|4.18459|11.9475|50.8974|125,1.3182980702162288,1.7,0.6257597560304068,calmar,F
anchor6_6_to_0.1875,truncated,jp,0.55|4.18459|11.9475|28.4135|65,1.1638675623800383,0.72,0.616482725527831,turnover,F
span_12_to_1,full,us,0.05|0.55|2.82915|11.9475|23.5,0.5590192644483363,0.44,0.42383408593638194,calmar,D
span_12_to_1,full,de,0.05|1.46535|4.18459|11.9475|23.5,1.2304115322018137,1.7,0.27622851046952135,turnover,C
span_12_to_1,full,jp,0.05|0.55|4.18459|11.9475|17.5,2.7056142034548945,0.72,2.757797504798465,turnover,F
span_12_to_1,truncated,us,0.05|0.55|2.82915|11.9475,0.8238178633975483,0.44,0.8723133259035187,turnover,F
span_12_to_1,truncated,de,0.05|1.46535|4.18459|11.9475,1.6991397349453614,1.7,0.2827976967638185,calmar,C
span_12_to_1,truncated,jp,0.05|0.55|4.18459|11.9475,2.7056142034548945,0.72,2.757797504798465,turnover,F
span_6_to_0.5,full,us,0.55|2.82915|11.9475|27.1635|37.5,0.7061295971978985,0.44,0.6048399936315875,turnover,F
span_6_to_0.5,full,de,1.46535|4.18459|11.9475|50.8974|90,1.2597070448732852,1.7,0.6539910051283986,calmar,F
span_6_to_0.5,full,jp,0.55|4.18459|11.9475|28.4135|45,1.6777831094049904,0.72,1.3302543186180424,turnover,F
span_6_to_0.5,truncated,us,0.55|2.82915|11.9475|27.1635,0.7649737302977233,0.44,0.7385766597675529,turnover,F
span_6_to_0.5,truncated,de,1.46535|4.18459|11.9475|50.8974,1.3182980702162288,1.7,0.603445134635449,calmar,F
span_6_to_0.5,truncated,jp,0.55|4.18459|11.9475|28.4135,1.647552783109405,0.72,1.288267754318618,turnover,F
sqrt2_8_to_0.25_11rungs,full,us,0.55|1.46535|2.82915|5.45961|11.9475|23.5|27.1635|37.5|55.8974|65,0.676707530647986,0.44,0.5379716605636047,turnover,D
sqrt2_8_to_0.25_11rungs,full,de,0.55|1.46535|2.82915|4.82079|8.59843|14.4475|23.5|50.8974|90|125|185,1.2597070448732852,1.7,0.47672488041568395,calmar,D
sqrt2_8_to_0.25_11rungs,full,jp,0.55|1.46535|2.82915|4.18459|8.59843|11.9475|17.5|28.4135|45|65|75,1.2243282149712094,0.72,0.7004558541266798,turnover,F
sqrt2_8_to_0.25_11rungs,truncated,us,0.55|1.46535|2.82915|5.45961|11.9475|23.5|27.1635|37.5|55.8974,0.676707530647986,0.44,0.5379716605636047,turnover,D
sqrt2_8_to_0.25_11rungs,truncated,de,0.55|1.46535|2.82915|4.82079|8.59843|14.4475|23.5|50.8974|90|125,1.2597070448732852,1.7,0.258995855956891,turnover,C
sqrt2_8_to_0.25_11rungs,truncated,jp,0.55|1.46535|2.82915|4.18459|8.59843|11.9475|17.5|28.4135|45|65,1.2545585412667948,0.72,0.7424424184261039,turnover,F
