market,fit_date,lambda,jumps,objective,shifts_per_year
us,1981-06-19,0.55,49,1292.718230998892,4.116
us,1981-06-19,1.465348864441625,31,1327.426439677075,2.604
us,1981-06-19,5.459611390906074,18,1414.9973206959642,1.512
us,1981-06-19,23.5,12,1674.9901502856587,1.008
us,1981-06-19,37.5,8,1797.0538758813043,0.6719999999999999
us,1981-06-19,65.0,4,1963.9519485573653,0.33599999999999997
us,1981-07-01,0.55,44,1293.2287821885204,3.6959999999999997
us,1981-07-01,1.465348864441625,30,1326.5110310377643,2.52
us,1981-07-01,5.459611390906074,18,1411.5002540456003,1.512
us,1981-07-01,23.5,12,1671.7063273833387,1.008
us,1981-07-01,37.5,8,1794.2435047086406,0.6719999999999999
us,1981-07-01,65.0,4,1961.2461209110093,0.33599999999999997
us,1982-01-04,0.55,52,1323.0648120192488,4.367999999999999
us,1982-01-04,1.465348864441625,32,1358.1627981587517,2.6879999999999997
us,1982-01-04,5.459611390906074,18,1443.1963270254703,1.512
us,1982-01-04,23.5,14,1733.7814268801906,1.176
us,1982-01-04,37.5,10,1887.215994330873,0.84
us,1982-01-04,65.0,4,2070.309226661245,0.33599999999999997
us,1982-07-01,0.55,63,1295.37637749122,5.292
us,1982-07-01,1.465348864441625,43,1342.4495683969558,3.612
us,1982-07-01,5.459611390906074,21,1443.8386686862686,1.764
us,1982-07-01,23.5,12,1734.3780063039717,1.008
us,1982-07-01,37.5,5,1839.8192685406502,0.42
us,1982-07-01,65.0,3,1964.1857205283638,0.252
us,1983-01-03,0.55,72,1413.6058740813269,6.048
us,1983-01-03,1.465348864441625,46,1464.0290886642529,3.864
us,1983-01-03,5.459611390906074,23,1580.6321190358956,1.932
us,1983-01-03,23.5,12,1875.3195109997787,1.008
us,1983-01-03,37.5,6,1991.60775286662,0.504
us,1983-01-03,65.0,2,2139.6747523774447,0.16799999999999998
us,1983-07-01,0.55,72,1427.5531022932698,6.048
us,1983-07-01,1.465348864441625,46,1478.5861182176875,3.864
us,1983-07-01,5.459611390906074,22,1601.3234227067105,1.8479999999999999
us,1983-07-01,23.5,10,1890.8549485334665,0.84
us,1983-07-01,37.5,6,2003.5427296312298,0.504
us,1983-07-01,65.0,4,2142.199094420674,0.33599999999999997
us,1984-01-03,0.55,62,1435.5825640438172,5.208
us,1984-01-03,1.465348864441625,46,1483.5124017270525,3.864
us,1984-01-03,5.459611390906074,22,1599.3435798538364,1.8479999999999999
us,1984-01-03,23.5,12,1886.2058022182182,1.008
us,1984-01-03,37.5,6,1996.851803216293,0.504
us,1984-01-03,65.0,4,2134.053165268473,0.33599999999999997
us,1984-07-02,0.55,75,1461.3658676465893,6.3
us,1984-07-02,1.465348864441625,49,1515.0706401717932,4.116
us,1984-07-02,5.459611390906074,24,1639.6604710876413,2.016
us,1984-07-02,23.5,10,1926.516453464116,0.84
us,1984-07-02,37.5,6,2034.130751676028,0.504
