arm,market,cell,mine,shu_mine,rel,ours,shu_claim,relative_deviation,grade,abs_gap,rel_gap
L_full_ladder,us,cagr,0.10746011358143193,0.112,0.04053470016578639,0.1074601135814319,0.112,0.0405347001657863,B,2.7755575615628914e-17,9.020562075079397e-17
L_full_ladder,us,volatility,0.1257352258679267,0.131,0.0401891155120099,0.1257352258679267,0.131,0.0401891155120099,B,0.0,0.0
L_full_ladder,us,sharpe,0.667567258270266,0.68,0.01828344372019717,0.667567258270266,0.68,0.0182834437201971,A,0.0,6.938893903907228e-17
L_full_ladder,us,maximum_drawdown,-0.2671159180354872,-0.266,0.004195180584538204,-0.2671159180354872,-0.266,0.0041951805845382,A,0.0,4.336808689942018e-18
L_full_ladder,us,calmar,0.3142333134541731,0.33,0.04777783801765731,0.3142333134541731,0.33,0.0477778380176573,B,0.0,6.938893903907228e-18
L_full_ladder,us,expected_shortfall_5pct,-0.019572831135869828,-0.02,0.021358443206508614,-0.0195728311358698,-0.02,0.0213584432065086,B,2.7755575615628914e-17,1.3877787807814457e-17
L_full_ladder,us,turnover,0.7061295971978985,0.44,0.6048399936315875,0.7061295971978985,0.44,0.6048399936315875,F,0.0,0.0
L_full_ladder,us,leverage,0.7857559836544075,0.8,0.017805020431990726,0.7857559836544075,0.8,0.0178050204319907,A,0.0,2.42861286636753e-17
L_full_ladder,de,cagr,0.05461098581153556,0.086,0.3649885370751678,0.0546109858115355,0.086,0.3649885370751678,C,6.245004513516506e-17,0.0
L_full_ladder,de,volatility,0.15440481769407266,0.164,0.05850720918248382,0.1544048176940726,0.164,0.0585072091824838,B,5.551115123125783e-17,1.3877787807814457e-17
L_full_ladder,de,sharpe,0.26606026549492057,0.44,0.3953175784206351,0.2660602654949205,0.44,0.3953175784206351,C,5.551115123125783e-17,0.0
L_full_ladder,de,maximum_drawdown,-0.5120316508203206,-0.394,0.29957271781807265,-0.5120316508203206,-0.394,0.2995727178180726,C,0.0,5.551115123125783e-17
L_full_ladder,de,calmar,0.08023134258119463,0.18,0.5542703189933631,0.0802313425811946,0.18,0.5542703189933631,D,2.7755575615628914e-17,0.0
L_full_ladder,de,expected_shortfall_5pct,-0.024277298255095052,-0.025,0.028908069796197977,-0.024277298255095,-0.025,0.0289080697961979,B,5.204170427930421e-17,7.632783294297951e-17
L_full_ladder,de,turnover,1.2597070448732852,1.7,0.258995855956891,1.2597070448732852,1.7,0.258995855956891,C,0.0,0.0
L_full_ladder,de,leverage,0.7494768658451523,0.84,0.10776563589862821,0.7494768658451523,0.84,0.1077656358986282,B,0.0,1.3877787807814457e-17
L_full_ladder,jp,cagr,0.02004740952297346,0.047,0.5734593718516285,0.0200474095229734,0.047,0.5734593718516285,D,5.898059818321144e-17,0.0
L_full_ladder,jp,volatility,0.1517816539709883,0.171,0.11238798847375267,0.1517816539709883,0.171,0.1123879884737526,B,0.0,6.938893903907228e-17
L_full_ladder,jp,sharpe,0.1629238309741739,0.31,0.47443925492201966,0.1629238309741739,0.31,0.4744392549220196,D,0.0,5.551115123125783e-17
L_full_ladder,jp,maximum_drawdown,-0.5044351018948853,-0.453,0.11354327129113743,-0.5044351018948853,-0.453,0.1135432712911374,B,0.0,4.163336342344337e-17
L_full_ladder,jp,calmar,0.04902285436453008,0.12,0.591476213628916,0.04902285436453,0.12,0.591476213628916,D,7.632783294297951e-17,0.0
L_full_ladder,jp,expected_shortfall_5pct,-0.02463180138880375,-0.026,0.05262302350754798,-0.0246318013888037,-0.026,0.0526230235075479,B,5.204170427930421e-17,8.326672684688674e-17
L_full_ladder,jp,turnover,1.28478886756238,0.72,0.7844289827255279,1.28478886756238,0.72,0.7844289827255279,F,0.0,0.0
L_full_ladder,jp,leverage,0.5874520153550864,0.75,0.21673064619321813,0.5874520153550864,0.75,0.2167306461932181,C,0.0,2.7755575615628914e-17
M_no_freeze,us,cagr,0.11675731785433285,0.112,0.04247605227082903,0.1167573178543328,0.112,0.042476052270829,B,5.551115123125783e-17,3.469446951953614e-17
M_no_freeze,us,volatility,0.12191819796023988,0.131,0.06932673312793988,0.1219181979602398,0.131,0.0693267331279398,B,8.326672684688674e-17,8.326672684688674e-17
M_no_freeze,us,sharpe,0.7530626752885523,0.68,0.10744511071845919,0.7530626752885523,0.68,0.1074451107184591,B,0.0,9.71445146547012e-17
M_no_freeze,us,maximum_drawdown,-0.19467774987004316,-0.266,0.2681287598870558,-0.1946777498700431,-0.266,0.2681287598870558,C,5.551115123125783e-17,0.0
M_no_freeze,us,calmar,0.4716103631955196,0.33,0.4291223127136956,0.4716103631955196,0.33,0.4291223127136956,D,0.0,0.0
M_no_freeze,us,expected_shortfall_5pct,-0.018868206428137666,-0.02,0.05658967859311671,-0.0188682064281376,-0.02,0.0565896785931167,B,6.591949208711867e-17,1.3877787807814457e-17
M_no_freeze,us,turnover,0.6472854640980735,0.44,0.47110332749562167,0.6472854640980735,0.44,0.4711033274956216,D,0.0,5.551115123125783e-17
M_no_freeze,us,leverage,0.7802685347343841,0.8,0.02466433158201997,0.7802685347343841,0.8,0.0246643315820199,B,0.0,7.28583859910259e-17
M_no_freeze,de,cagr,0.0666655212913021,0.086,0.22481951986858018,0.0666655212913021,0.086,0.2248195198685801,C,0.0,8.326672684688674e-17
M_no_freeze,de,volatility,0.14784586613091985,0.164,0.098500816274879,0.1478458661309198,0.164,0.098500816274879,B,5.551115123125783e-17,0.0
M_no_freeze,de,sharpe,0.34796314463093997,0.44,0.20917467129331827,0.3479631446309399,0.44,0.2091746712933182,C,5.551115123125783e-17,5.551115123125783e-17
M_no_freeze,de,maximum_drawdown,-0.36971059133326023,-0.394,0.06164824534705529,-0.3697105913332602,-0.394,0.0616482453470552,B,5.551115123125783e-17,9.020562075079397e-17
M_no_freeze,de,calmar,0.13914914450808086,0.18,0.22694919717732853,0.1391491445080808,0.18,0.2269491971773285,C,5.551115123125783e-17,2.7755575615628914e-17
M_no_freeze,de,expected_shortfall_5pct,-0.023379568140258242,-0.025,0.06481727438967036,-0.0233795681402582,-0.025,0.0648172743896703,B,4.163336342344337e-17,5.551115123125783e-17
