market,fit_date,lambda,recorded_objective,my_objective,jumps
de,1981-09-24,0.0,1854.9386718985247,1854.9386718985252,149
de,1981-09-24,0.1,1867.9123001802095,1867.9123001802097,111
de,1981-09-24,1.0,1935.8323057814373,1935.8323057814375,61
de,1981-09-24,1.93069772888325,1988.531735660595,1988.5317356605947,53
de,1981-09-24,3.72759372031494,2068.3038977821475,2068.3038977821475,37
de,1981-09-24,4.641588833612778,2100.495170684803,2100.495170684803,35
de,1981-09-24,5.0,2113.039561508355,2113.039561508355,35
de,1981-09-24,7.196856730011519,2182.91794617861,2182.91794617861,31
de,1981-09-24,10.0,2260.3019624425096,2260.3019624425096,27
de,1981-09-24,13.894954943731374,2340.272546701924,2340.2725467019236,17
de,1981-09-24,15.0,2359.0583126584893,2359.0583126584893,17
de,1981-09-24,20.0,2444.058312658489,2444.058312658489,17
de,1981-09-24,21.544346900318832,2467.465091654496,2467.465091654496,15
de,1981-09-24,22.0,2474.2998881497133,2474.2998881497133,15
de,1981-09-24,25.0,2519.299888149714,2519.299888149714,15
de,1981-09-24,26.826957952797247,2546.7042574416737,2546.7042574416737,15
de,1981-09-24,30.0,2593.149097834769,2593.149097834769,13
de,1981-09-24,35.0,2654.6768962018405,2654.6768962018405,11
de,1981-09-24,40.0,2709.6768962018414,2709.6768962018414,11
de,1981-09-24,50.0,2809.0199127139813,2809.0199127139813,10
de,1981-09-24,51.7947467923121,2826.9673806371006,2826.9673806371006,10
de,1981-09-24,60.0,2909.019912713983,2909.019912713983,10
de,1981-09-24,70.0,3009.0199127139817,3009.0199127139817,10
de,1981-09-24,80.0,3105.1354176901546,3105.1354176901546,9
de,1981-09-24,100.0,3208.161524446876,3208.1615244468753,4
de,1981-09-24,150.0,3362.979971675413,3362.979971675413,1
de,1981-09-24,220.0,3432.9799716754137,3432.9799716754137,1
de,1981-09-24,500.0,3634.255986502461,3634.255986502461,0
de,1981-09-24,1000.0,3634.255986502461,3634.255986502461,0
de,1982-01-04,0.0,1870.7083203621248,1870.7083203621248,148
de,1982-01-04,0.1,1883.7397421881576,1883.7397421881578,114
de,1982-01-04,1.0,1951.0111209743525,1951.0111209743523,60
de,1982-01-04,1.93069772888325,2002.669640320278,2002.669640320278,52
de,1982-01-04,3.72759372031494,2080.691699408447,2080.691699408447,36
de,1982-01-04,4.641588833612778,2112.0819395675994,2112.0819395675994,34
de,1982-01-04,5.0,2124.267919224765,2124.267919224765,34
de,1982-01-04,7.196856730011519,2192.490403681669,2192.4904036816692,30
de,1982-01-04,10.0,2268.573892711003,2268.573892711003,26
de,1982-01-04,13.894954943731374,2347.577898759799,2347.577898759799,16
de,1982-01-04,15.0,2365.2586196600964,2365.2586196600964,16
de,1982-01-04,20.0,2445.258619660095,2445.258619660095,16
de,1982-01-04,21.544346900318832,2468.1380088911146,2468.1380088911146,14
de,1982-01-04,22.0,2474.51715228665,2474.51715228665,14
de,1982-01-04,25.0,2516.5171522866517,2516.5171522866513,14
de,1982-01-04,26.826957952797247,2542.094563625814,2542.094563625814,14
de,1982-01-04,30.0,2586.603077225712,2586.6030772257122,12
de,1982-01-04,35.0,2646.603077225712,2646.6030772257122,12
de,1982-01-04,40.0,2692.5579587557754,2692.5579587557754,10
de,1982-01-04,50.0,2792.557958755774,2792.557958755774,10
de,1982-01-04,51.7947467923121,2810.505426678896,2810.5054266788957,10
de,1982-01-04,60.0,2892.557958755777,2892.5579587557772,10
de,1982-01-04,70.0,2992.557958755779,2992.557958755779,10
de,1982-01-04,80.0,3097.6090268669723,3097.6090268669723,10
de,1982-01-04,100.0,3185.6081655532803,3185.6081655532803,3
de,1982-01-04,150.0,3335.6081655532785,3335.6081655532785,3
de,1982-01-04,220.0,3489.98884918526,3489.98884918526,1
de,1982-01-04,500.0,3667.082127442356,3667.082127442356,0
de,1982-01-04,1000.0,3667.082127442356,3667.082127442356,0
