market,episode,start_date,end_date,length_days,delta_r,abs_delta_r,gross_delta_r,cost_delta_r,closed_delta_r,sign,jm_position_at_start,jm_state_at_start,jm_regime_at_start,c2d_position_at_start,period,settlement_date,settlement_delta_r
jp,1,1990-02-01,1990-02-01,1,0.0013443995537261002,0.0013443995537261002,0.0003443995537261,0.001,0.00034439955372610014,positive,0.0,1.0,bear_cash,1.0,normal,1990-02-02,-0.001
jp,2,1990-07-04,1990-07-04,1,0.00021958143452169998,0.00021958143452169998,-0.0007804185654783,0.001,-0.0007804185654783,positive,1.0,0.0,bull_equity,0.0,normal,1990-07-05,-0.001
jp,3,1990-08-10,1990-08-10,1,-0.0095489632743803,0.0095489632743803,-0.010548963274380301,0.001,-0.010548963274380301,negative,0.0,1.0,bear_cash,1.0,normal,1990-08-13,-0.001
jp,4,1991-02-21,1991-02-21,1,0.0078535300751484,0.0078535300751484,0.0068535300751484,0.001,0.0068535300751484006,positive,1.0,0.0,bull_equity,0.0,normal,1991-02-22,-0.001
jp,5,1991-04-02,1991-04-02,1,0.0102094192560242,0.0102094192560242,0.009209419256024198,0.001,0.009209419256024198,positive,0.0,1.0,bear_cash,1.0,normal,1991-04-03,-0.001
jp,6,1991-05-30,1991-05-30,1,-0.0047658091823905,0.0047658091823905,-0.0057658091823905,0.001,-0.0057658091823905,negative,1.0,0.0,bull_equity,0.0,normal,1991-05-31,-0.001
jp,7,1991-07-03,1991-07-03,1,-0.0251297370359944,0.0251297370359944,-0.0261297370359944,0.001,-0.026129737035994402,negative,0.0,1.0,bear_cash,1.0,normal,1991-07-04,-0.001
jp,8,1993-06-01,1993-06-01,1,-0.0008372394913257254,0.0008372394913257254,-0.0018372394913257254,0.001,-0.0018372394913257254,negative,1.0,0.0,bull_equity,0.0,normal,1993-06-02,-0.001
jp,9,1993-07-05,1993-07-05,1,0.0010181668789052255,0.0010181668789052255,1.8166878905225402e-05,0.001,1.8166878905225524e-05,positive,0.0,1.0,bear_cash,1.0,normal,1993-07-06,-0.001
jp,10,1993-08-23,1993-08-23,1,0.010435064858797874,0.010435064858797874,0.009435064858797875,0.001,0.009435064858797873,positive,1.0,0.0,bull_equity,0.0,normal,1993-08-24,-0.001
jp,11,1993-11-30,1993-11-30,1,0.021356255898838643,0.021356255898838643,0.020356255898838643,0.001,0.020356255898838643,positive,0.0,1.0,bear_cash,1.0,normal,1993-12-01,-0.001
jp,12,1995-09-04,1995-09-04,1,0.02153750973399809,0.02153750973399809,0.02053750973399809,0.001,0.02053750973399809,positive,1.0,0.0,bull_equity,0.0,normal,1995-09-05,-0.001
jp,13,1996-07-29,1996-07-29,1,-0.00643562507914247,0.00643562507914247,-0.00743562507914247,0.001,-0.00743562507914247,negative,0.0,1.0,bear_cash,1.0,normal,1996-07-30,-0.001
jp,14,1996-08-21,1996-08-21,1,-0.00601959219573343,0.00601959219573343,-0.00701959219573343,0.001,-0.00701959219573343,negative,1.0,0.0,bull_equity,0.0,normal,1996-08-22,-0.001
jp,15,1996-09-04,1996-09-04,1,0.0011977980952396303,0.0011977980952396303,0.00019779809523963018,0.001,0.00019779809523963032,positive,0.0,1.0,bear_cash,1.0,normal,1996-09-05,-0.001
