market,metric,ours,shu,deviation
us,cagr,0.1020917016162346,0.102,9.17016162346046e-05
us,volatility,0.18170723698437424,0.182,0.00029276301562575213
us,sharpe,0.4825305831982123,0.48,0.0025305831982123106
us,maximum_drawdown,-0.5525024106969554,-0.552,0.0005024106969553355
us,calmar,0.15869487143558816,0.16,0.0013051285644118393
us,expected_shortfall_5pct,-0.027163087114726713,-0.027,0.0001630871147267135
de,cagr,0.06770006191572286,0.068,0.0002999380842771404
de,volatility,0.22083884232273365,0.221,0.00016115767726634922
de,sharpe,0.298219520635997,0.3,0.0017804793640029959
de,maximum_drawdown,-0.7268483329758143,-0.727,0.00015166702418567546
de,calmar,0.0906082475633683,0.09,0.0006082475633683027
de,expected_shortfall_5pct,-0.03288665425002559,-0.033,0.00011334574997440977
jp,cagr,0.009951223395167075,0.008,0.0019512233951670746
jp,volatility,0.23376366162805612,0.234,0.00023633837194389495
jp,sharpe,0.1305854474613641,0.12,0.010585447461364111
jp,maximum_drawdown,-0.7804904755534509,-0.791,0.010509524446549179
jp,calmar,0.039111473246691876,0.04,0.0008885267533081248
jp,expected_shortfall_5pct,-0.03359360519025696,-0.034,0.0004063948097430409
