stat,cell,ours,shu,deviation
volatility,us,0.17213908503633596,0.172,0.00013908503633597302
volatility,de,0.20125093966514443,0.201,0.00025093966514441735
volatility,jp,0.20540412812462933,0.205,0.0004041281246293382
correlation,us-de,0.4427589651540931,0.44,0.0027589651540930737
correlation,us-jp,0.12349226666913186,0.12,0.003492266669131869
correlation,de-jp,0.25930193114713984,0.26,0.0006980688528601675
covariance,de-us,0.015262681111302238,0.015,0.000262681111302239
covariance,jp-us,0.00438925899299356,0.004,0.00038925899299355974
covariance,jp-de,0.010684698422945872,0.011,0.0003153015770541272
implied_early_volatility,us,0.15456011579089096,0.15356947745337862,0.0009906383375123395
implied_early_volatility,de,0.16206627132814824,0.16090224013813828,0.001164031190009962
implied_early_volatility,jp,0.14525908056917958,0.14317430101109688,0.0020847795580827
