agreement,grid
0.9074418604651163,26.827|30|40
0.8972093023255814,35|40|1000
0.8972093023255814,35|40|500|1000
0.8902325581395348,40|500
0.888953488372093,4.64159|5|20|21.5443|22|100|150|500
0.8860465116279069,4.64159|5|20|22|100|150|500
0.8823255813953489,0|1.9307|10|13.895|21.5443|150|1000
0.8823255813953489,0|1.9307|10|13.895|21.5443|22|150|1000
0.8823255813953489,3.72759|10|13.895|21.5443|22|150|220|1000
0.8819767441860465,0|1.9307|10|13.895|22|150|220|1000
0.8811627906976744,3.72759|10|13.895|21.5443|100|150|1000
0.8811627906976744,3.72759|10|13.895|20|21.5443|100|150|1000
0.8811627906976744,3.72759|10|13.895|21.5443|22|100|150|1000
0.8811627906976744,3.72759|10|13.895|21.5443|100|150|500|1000
0.8808139534883721,3.72759|10|13.895|22|100|150|220|1000
0.8806976744186047,3.72759|10|13.895|15|22|150|1000
0.8806976744186047,3.72759|10|13.895|15|21.5443|22|150|1000
0.8806976744186047,3.72759|10|13.895|15|22|150|500|1000
0.8803488372093023,3.72759|10|13.895|21.5443|22|150|1000
0.8803488372093023,3.72759|10|13.895|21.5443|22|150|500|1000
0.88,0|1.9307|10|13.895|22|150|1000
0.88,3.72759|10|13.895|22|150|220|1000
0.88,0|1.9307|10|13.895|22|150|500|1000
0.88,3.72759|10|13.895|20|22|150|220|1000
0.88,3.72759|10|13.895|22|150|220|500|1000
0.88,15|20|21.5443|22|60|150|220|1000
0.88,15|20|22|35|60|150|220|1000
0.8796511627906977,15|20|22|40|60|150|220|1000
0.8795348837209302,0|1.9307|10|13.895|150|220|1000
0.8795348837209302,0|1.9307|10|13.895|20|150|220|1000
0.8791860465116279,0|1|3.72759|10|13.895|70|150|1000
0.8788372093023256,3.72759|10|13.895|22|100|150|1000
0.8788372093023256,3.72759|10|13.895|20|22|100|150|1000
0.8788372093023256,3.72759|10|13.895|22|40|100|150|1000
0.8788372093023256,3.72759|10|13.895|22|100|150|500|1000
0.8787209302325582,0|1|10|13.895|22|100|150|1000
0.8786046511627907,3.72759|10|13.895|22|35|100|150|1000
