agreement,grid
0.8539069990412272,1.9307|22|25|26.827|40|51.7947|220
0.8537871524448706,1.9307|22|25|40|51.7947|220
0.8537871524448706,1.9307|22|26.827|40|51.7947|220
0.8535474592521572,1.9307|22|25|26.827|51.7947|220
0.8534276126558006,1.9307|22|26.827|51.7947|220
0.8533077660594439,1.9307|22|25|51.7947|220
0.8533077660594439,1.9307|22|30|35|50|51.7947|220
0.8533077660594439,1.9307|22|30|35|40|50|51.7947|220
0.8529482262703739,1.9307|22|25|26.827|30|51.7947|220
0.8529482262703739,1.9307|22|25|26.827|30|40|51.7947|220
0.8528283796740173,1.9307|22|25|30|51.7947|220
0.8528283796740173,1.9307|22|26.827|30|51.7947|220
0.8528283796740173,1.9307|22|25|30|40|51.7947|220
0.8528283796740173,1.9307|22|26.827|30|40|51.7947|220
0.8525886864813039,1.9307|22|35|40|50|220
0.8524688398849473,1.9307|22|30|51.7947|220
0.8524688398849473,1.9307|22|35|50|220
0.8524688398849473,1.9307|22|30|40|51.7947|220
0.8524688398849473,1.9307|22|25|26.827|30|50|51.7947|220
0.8523489932885906,1.9307|22|25|30|50|51.7947|220
0.8523489932885906,1.9307|22|26.827|30|50|51.7947|220
0.8523489932885906,1.9307|22|35|40|50|51.7947|220
0.8523489932885906,1.9307|22|25|30|35|50|51.7947|220
0.8523489932885906,1.9307|22|25|30|40|50|51.7947|220
0.8523489932885906,1.9307|22|26.827|30|35|50|51.7947|220
0.8523489932885906,1.9307|22|26.827|30|40|50|51.7947|220
0.8522291466922339,1.9307|22|35|50|51.7947|220
0.8521093000958773,1.9307|20|30|35|50|51.7947|220
0.8521093000958773,1.9307|20|30|35|40|50|51.7947|220
0.8519894534995206,1.9307|22|30|50|51.7947|220
0.8519894534995206,1.9307|22|30|40|50|51.7947|220
0.8518696069031639,1.9307|20|30|51.7947|220
0.8518696069031639,1.9307|20|30|40|51.7947|220
0.8516299137104506,1.9307|22|40|50|220
0.8516299137104506,1.9307|20|25|40|51.7947|220
0.8516299137104506,1.9307|22|26.827|40|50|220
0.8516299137104506,1.9307|20|25|26.827|30|51.7947|220
0.8516299137104506,1.9307|20|25|26.827|40|51.7947|220
0.8516299137104506,1.9307|22|26.827|35|40|50|220
0.8516299137104506,1.9307|20|21.5443|25|26.827|30|51.7947|220
0.8516299137104506,1.9307|20|22|25|26.827|30|51.7947|220
0.8516299137104506,1.9307|20|22|25|26.827|40|51.7947|220
0.8516299137104506,1.9307|20|25|26.827|30|35|51.7947|220
0.8516299137104506,1.9307|20|25|26.827|30|40|51.7947|220
0.8516299137104506,1.9307|20|25|26.827|35|40|51.7947|220
0.8515100671140939,1.9307|20|25|30|51.7947|220
0.8515100671140939,1.9307|20|26.827|30|51.7947|220
0.8515100671140939,1.9307|20|26.827|40|51.7947|220
0.8515100671140939,1.9307|22|26.827|35|50|220
0.8515100671140939,1.9307|20|21.5443|26.827|30|51.7947|220
0.8515100671140939,1.9307|20|21.5443|30|35|51.7947|220
0.8515100671140939,1.9307|20|22|25|30|51.7947|220
0.8515100671140939,1.9307|20|22|25|40|51.7947|220
0.8515100671140939,1.9307|20|22|26.827|30|51.7947|220
0.8515100671140939,1.9307|20|22|26.827|40|51.7947|220
0.8515100671140939,1.9307|20|25|26.827|35|51.7947|220
0.8515100671140939,1.9307|20|25|30|35|51.7947|220
0.8515100671140939,1.9307|20|25|30|40|51.7947|220
