agreement,grid
0.9629802639261941,0|0.1|20|35|150|1000
0.9629802639261941,0|0.1|20|30|35|150|1000
0.9629802639261941,0|0.1|20|35|60|150|1000
0.9629802639261941,0|0.1|20|35|150|220|1000
0.9629802639261941,0|0.1|20|35|150|500|1000
0.9629802639261941,0|0.1|20|30|35|60|150|1000
0.9629802639261941,0|0.1|20|30|35|150|220|1000
0.9629802639261941,0|0.1|20|30|35|150|500|1000
0.9629802639261941,0|0.1|20|35|60|150|220|1000
0.9629802639261941,0|0.1|20|35|60|150|500|1000
0.9629802639261941,0|0.1|20|35|150|220|500|1000
0.9614621044026627,0|10|20|35|150|220
0.9614621044026627,0|15|20|35|150|220
0.9614621044026627,0|10|20|35|150|1000
0.9614621044026627,0|10|20|30|35|150|220
0.9614621044026627,0|15|20|30|35|150|220
0.9614621044026627,0|15|20|35|60|150|220
0.9614621044026627,0|10|20|30|35|150|1000
0.9614621044026627,0|10|20|35|60|150|1000
0.9614621044026627,0|10|20|35|150|220|1000
0.9614621044026627,0|10|20|35|150|500|1000
0.9614621044026627,0|15|20|30|35|60|150|220
0.9614621044026627,0|10|20|30|35|60|150|1000
0.9614621044026627,0|10|20|30|35|150|220|1000
0.9614621044026627,0|10|20|30|35|150|500|1000
0.9614621044026627,0|10|20|35|60|150|220|1000
0.9614621044026627,0|10|20|35|60|150|500|1000
0.9614621044026627,0|10|20|35|150|220|500|1000
0.9613453229008525,0.1|10|20|35|150|220
0.9613453229008525,0.1|15|20|35|150|220
0.9613453229008525,0.1|10|20|35|150|1000
0.9613453229008525,0|13.895|15|20|35|150|220
0.9613453229008525,0.1|10|20|30|35|150|220
0.9613453229008525,0.1|15|20|30|35|150|220
0.9613453229008525,0.1|15|20|35|60|150|220
0.9613453229008525,0.1|10|20|30|35|150|1000
0.9613453229008525,0.1|10|20|35|60|150|1000
0.9613453229008525,0.1|10|20|35|150|220|1000
0.9613453229008525,0.1|10|20|35|150|500|1000
0.9613453229008525,0|13.895|15|20|30|35|150|220
0.9613453229008525,0.1|15|20|30|35|60|150|220
0.9613453229008525,0.1|10|20|30|35|60|150|1000
0.9613453229008525,0.1|10|20|30|35|150|220|1000
0.9613453229008525,0.1|10|20|30|35|150|500|1000
0.9613453229008525,0.1|10|20|35|60|150|220|1000
0.9613453229008525,0.1|10|20|35|60|150|500|1000
0.9613453229008525,0.1|10|20|35|150|220|500|1000
0.9612285413990423,0|0.1|10|20|35|150|220
0.9612285413990423,0|0.1|15|20|35|150|220
0.9612285413990423,0.1|13.895|15|20|35|150|220
0.9612285413990423,0|0.1|10|20|35|150|1000
0.9612285413990423,0|0.1|10|20|30|35|150|220
0.9612285413990423,0|0.1|15|20|30|35|150|220
0.9612285413990423,0|0.1|15|20|35|60|150|220
0.9612285413990423,0.1|13.895|15|20|30|35|150|220
0.9612285413990423,0|0.1|10|20|30|35|150|1000
0.9612285413990423,0|0.1|10|20|35|60|150|1000
0.9612285413990423,0|0.1|10|20|35|150|220|1000
0.9612285413990423,0|0.1|10|20|35|150|500|1000
0.9611117598972323,0|0.1|13.895|15|20|35|150|220
0.9608781968936121,0|0.1|20|220
0.9608781968936121,0|0.1|20|220|1000
0.9608781968936121,0|0.1|20|220|500|1000
