agreement,grid
0.8951162790697674,0.1|1|10|21.5443|26.827|40|100|500
0.8946511627906977,3.72759|5|20|25|30|100|150|1000
0.8941860465116279,0.1|1|1.9307|10|30|40|100|1000
0.8940697674418605,3.72759|5|20|30|40|100|150|500
0.8937209302325582,0.1|1|10|21.5443|26.827|100|500
0.8937209302325582,0|0.1|1|10|21.5443|26.827|100|500
0.8937209302325582,0.1|1|10|21.5443|22|26.827|100|500
0.8934883720930232,0.1|1|10|21.5443|25|30|100|500
0.8934883720930232,0.1|1|10|21.5443|26.827|30|100|500
0.8931395348837209,0|1|1.9307|10|20|26.827|100|1000
0.8931395348837209,0.1|1|1.9307|10|20|26.827|100|1000
0.8930232558139535,35|40|500
0.8930232558139535,3.72759|5|35|40|100|150|1000
0.8930232558139535,3.72759|5|20|25|30|100|150|500
0.8930232558139535,3.72759|5|35|40|100|150|220|1000
0.8930232558139535,3.72759|5|35|40|100|150|500|1000
0.8926744186046511,3.72759|5|40|100|150|220|1000
0.8926744186046511,3.72759|5|40|100|150|220|500|1000
0.8924418604651163,0.1|1|10|21.5443|26.827|50|100|500
0.8922093023255814,0.1|1|10|21.5443|22|50|100|500
0.891860465116279,3.72759|5|40|150|220|1000
0.891860465116279,3.72759|5|40|150|220|500|1000
0.891860465116279,0.1|1|10|21.5443|26.827|100|150|500
0.8916279069767442,0.1|1|10|22|25|30|100|500
0.8916279069767442,0.1|1|10|22|26.827|30|100|500
0.8913953488372093,3.72759|5|35|40|100|150|500
0.8913953488372093,3.72759|5|35|40|100|150|220|500
0.8910465116279069,3.72759|5|40|100|150|220|500
0.8910465116279069,0.1|1|10|22|26.827|40|100|500
0.8902325581395348,3.72759|5|40|150|220|500
0.8897674418604651,0|1|10|21.5443|26.827|70|150|500
0.8896511627906977,0.1|1|10|22|26.827|100|500
0.8896511627906977,0|0.1|1|10|22|26.827|100|500
0.8895348837209303,5|20|40|100|150|500
0.8894186046511627,0.1|1|10|20|26.827|30|100|500
0.8894186046511627,0|1|15|26.827|30|100|150|1000
0.8888372093023256,0|1|1.9307|10|20|70|150|1000
0.8888372093023256,0|1|1.9307|15|26.827|100|150|1000
0.8888372093023256,0.1|1|1.9307|15|26.827|100|150|1000
0.8887209302325582,0|1|1.9307|15|26.827|70|150|1000
0.8884883720930232,0.1|1|10|22|40|50|100|500
0.8884883720930232,3.72759|10|21.5443|22|40|100|150|500
0.8883720930232558,0.1|1|10|22|26.827|50|100|500
0.8883720930232558,0|1|10|15|26.827|100|150|1000
0.8882558139534884,0.1|1|10|20|30|40|100|500
0.8881395348837209,0.1|1|10|22|50|100|500
0.8881395348837209,0|0.1|1|10|22|50|100|500
0.8881395348837209,0.1|1|10|22|35|50|100|500
0.8880232558139535,0|1|1.9307|15|26.827|100|1000
0.8880232558139535,0.1|1|1.9307|15|26.827|100|1000
0.8880232558139535,0|0.1|1|1.9307|15|26.827|100|1000
0.8880232558139535,0|1|1.9307|15|26.827|100|500|1000
0.8880232558139535,0.1|1|1.9307|15|26.827|100|500|1000
0.8877906976744186,0.1|1|10|22|26.827|100|150|500
0.8876744186046511,30|35|40|100|150|220|500
0.8874418604651163,0|1|15|26.827|70|150|1000
0.8874418604651163,0|1|15|26.827|40|70|150|1000
0.8874418604651163,0|1|15|26.827|70|150|500|1000
0.8872093023255814,0|1.9307|10|15|26.827|70|150|1000
0.8869767441860466,0|1|1.9307|10|22|70|150|500
0.8866279069767442,5|20|100|150|500
0.8862790697674419,0|1|1.9307|15|25|70|150|1000
0.8856976744186047,0|1|10|22|26.827|70|150|500
0.8846511627906977,0.1|1|10|22|50|70|150|500
0.8844186046511628,3.72759|10|22|40|100|150|500
0.8841860465116279,3.72759|10|20|22|40|100|150|500
0.8832558139534884,0.1|1|15|26.827|30|100|150|500
0.8810465116279069,0|15|40|51.7947|70|150|1000
0.8810465116279069,0|15|40|51.7947|70|150|500|1000
0.8809302325581395,0|15|40|50|70|150|1000
0.8809302325581395,0|15|40|50|51.7947|70|150|1000
0.8809302325581395,0|15|40|50|70|150|500|1000
0.8808139534883721,0|15|40|70|150|1000
0.8808139534883721,0|15|40|70|150|500|1000
0.8806976744186047,0|15|51.7947|70|150|1000
0.8806976744186047,0|15|51.7947|70|150|500|1000
0.8805813953488372,0|15|50|70|150|1000
0.8805813953488372,0|15|50|51.7947|70|150|1000
0.8805813953488372,0|15|50|70|150|500|1000
0.8805813953488372,0|15|50|51.7947|70|150|500|1000
0.8804651162790698,0|15|70|150|1000
0.8804651162790698,0|15|70|150|500|1000
0.8803488372093023,35|40|80|100|150|500
0.8803488372093023,0|15|20|70|150|1000
0.8803488372093023,35|40|80|100|150|1000
0.8803488372093023,35|40|80|100|150|220|500
0.8803488372093023,0|15|20|40|70|150|1000
0.8803488372093023,0|15|20|70|150|500|1000
0.8803488372093023,35|40|80|100|150|220|1000
0.8803488372093023,35|40|80|100|150|500|1000
0.8803488372093023,0|15|20|40|70|150|500|1000
0.8803488372093023,35|40|80|100|150|220|500|1000
0.8802325581395349,15|21.5443|51.7947|70|150|1000
0.8802325581395349,0|15|26.827|30|100|150|1000
0.8802325581395349,15|20|21.5443|51.7947|70|150|1000
0.8802325581395349,15|21.5443|51.7947|70|150|500|1000
0.8802325581395349,0|15|26.827|30|100|150|500|1000
0.8802325581395349,15|20|21.5443|22|51.7947|70|150|1000
0.8802325581395349,15|20|21.5443|51.7947|70|150|500|1000
0.8801162790697674,15|21.5443|50|51.7947|70|150|1000
0.8801162790697674,15|21.5443|50|51.7947|70|150|500|1000
0.88,35|40|100|150|500
