agreement,grid
0.8516299137104506,1.9307|20|25|26.827|40|51.7947|220
0.8516299137104506,1.9307|20|25|26.827|35|40|51.7947|220
0.8515100671140939,1.9307|20|25|26.827|35|51.7947|220
0.8515100671140939,1.9307|20|26.827|35|40|51.7947|220
0.8513902205177373,1.9307|22|40|51.7947|220
0.8513902205177373,1.9307|20|26.827|35|51.7947|220
0.8512703739213806,1.9307|20|25|35|40|51.7947|220
0.8511505273250239,1.9307|20|25|35|51.7947|220
0.8510306807286673,1.9307|20|25|51.7947|220
0.8510306807286673,1.9307|20|25|26.827|51.7947|220
0.8509108341323106,1.9307|22|51.7947|220
0.8509108341323106,1.9307|20|26.827|51.7947|220
0.850790987535954,1.9307|22|35|40|51.7947|220
0.850790987535954,1.9307|22|25|26.827|40|51.7947|220
0.850790987535954,1.9307|22|25|26.827|35|40|51.7947|220
0.8506711409395973,1.9307|22|35|51.7947|220
0.8506711409395973,1.9307|22|25|40|51.7947|220
0.8506711409395973,1.9307|22|26.827|40|51.7947|220
0.8506711409395973,1.9307|22|25|26.827|35|51.7947|220
0.8506711409395973,1.9307|22|26.827|35|40|51.7947|220
0.8506711409395973,1.9307|21.5443|22|25|26.827|40|51.7947|220
0.8505512943432406,1.9307|22|26.827|35|51.7947|220
0.8505512943432406,1.9307|21.5443|22|25|40|51.7947|220
0.8505512943432406,1.9307|21.5443|22|26.827|40|51.7947|220
0.8505512943432406,1.9307|21.5443|22|25|26.827|35|51.7947|220
0.8505512943432406,1.9307|21.5443|22|26.827|35|40|51.7947|220
0.850431447746884,1.9307|22|25|26.827|51.7947|220
0.850431447746884,1.9307|21.5443|22|26.827|35|51.7947|220
0.8503116011505273,1.9307|22|26.827|51.7947|220
0.8503116011505273,1.9307|21.5443|22|25|26.827|51.7947|220
0.8503116011505273,1.9307|22|25|35|40|51.7947|220
0.8501917545541706,1.9307|20|51.7947|220
0.8501917545541706,1.9307|22|25|51.7947|220
0.8501917545541706,1.9307|21.5443|22|26.827|51.7947|220
0.8501917545541706,1.9307|22|25|35|51.7947|220
0.8501917545541706,1.9307|21.5443|22|25|35|40|51.7947|220
0.850071907957814,1.9307|21.5443|22|25|51.7947|220
0.850071907957814,1.9307|21.5443|22|25|35|51.7947|220
0.8498322147651006,1.9307|21.5443|22|35|40|51.7947|220
0.849712368168744,1.9307|21.5443|22|35|51.7947|220
0.8492329817833174,1.9307|21.5443|22|40|51.7947|220
0.8492329817833174,1.9307|15|20|35|40|51.7947|220
0.8492329817833174,1.9307|15|20|25|26.827|35|51.7947|220
0.8492329817833174,1.9307|15|20|26.827|35|40|51.7947|220
0.8491131351869607,1.9307|15|20|35|51.7947|220
0.8491131351869607,1.9307|15|20|26.827|35|51.7947|220
0.8487535953978907,1.9307|21.5443|22|51.7947|220
0.8487535953978907,1.9307|15|20|25|26.827|51.7947|220
0.8486337488015341,1.9307|15|20|26.827|51.7947|220
0.8480345158197508,1.9307|15|35|40|51.7947|150|220
0.8479146692233941,1.9307|15|20|51.7947|220
0.8479146692233941,1.9307|15|35|51.7947|150|220
0.8477948226270374,1.9307|15|22|40|51.7947|220
0.8474352828379674,1.9307|22|25|26.827|30|51.7947|220
0.8474352828379674,1.9307|21.5443|22|25|26.827|30|51.7947|220
0.8474352828379674,1.9307|22|25|26.827|30|35|51.7947|220
0.8474352828379674,1.9307|22|25|26.827|30|40|51.7947|220
0.8473154362416108,1.9307|15|22|51.7947|220
0.8473154362416108,1.9307|22|25|30|51.7947|220
0.8473154362416108,1.9307|22|26.827|30|51.7947|220
0.8473154362416108,1.9307|21.5443|22|26.827|30|51.7947|220
0.8473154362416108,1.9307|21.5443|22|30|35|51.7947|220
0.8473154362416108,1.9307|22|25|30|35|51.7947|220
0.8473154362416108,1.9307|22|25|30|40|51.7947|220
0.8473154362416108,1.9307|22|26.827|30|35|51.7947|220
0.8473154362416108,1.9307|22|26.827|30|40|51.7947|220
0.8473154362416108,1.9307|21.5443|22|26.827|30|35|51.7947|220
0.8473154362416108,1.9307|21.5443|22|26.827|30|40|51.7947|220
0.8473154362416108,1.9307|21.5443|22|30|35|40|51.7947|220
0.8473154362416108,1.9307|22|25|30|35|40|51.7947|220
0.8473154362416108,1.9307|22|26.827|30|35|40|51.7947|220
0.8471955896452541,1.9307|21.5443|22|25|30|51.7947|220
0.8471955896452541,1.9307|21.5443|22|25|30|35|51.7947|220
0.8471955896452541,1.9307|21.5443|22|25|30|40|51.7947|220
0.8470757430488974,1.9307|15|25|40|51.7947|220
0.8470757430488974,1.9307|15|25|26.827|40|51.7947|220
0.8470757430488974,1.9307|15|20|21.5443|30|35|51.7947|220
