agreement,grid
0.9608781968936121,0|0.1|20|220
0.9608781968936121,0|0.1|20|220|1000
0.9608781968936121,0|0.1|20|220|500|1000
0.9593600373700806,0|0.1|21.5443|220
0.9593600373700806,0|10|20|220
0.9593600373700806,0|0.1|21.5443|220|1000
0.9593600373700806,0|10|20|220|1000
0.9593600373700806,0|0.1|21.5443|220|500|1000
0.9593600373700806,0|10|20|220|500|1000
0.9592432558682704,0.1|10|20|220
0.9592432558682704,0|0.1|20|21.5443|220
0.9592432558682704,0.1|10|20|220|1000
0.9592432558682704,0|0.1|20|21.5443|220|1000
0.9592432558682704,0.1|10|20|220|500|1000
0.9592432558682704,0|0.1|20|21.5443|220|500|1000
0.9591264743664604,0|0.1|10|20|220
0.9591264743664604,0|0.1|10|20|220|1000
0.9591264743664604,0|0.1|10|20|220|500|1000
0.95865934835922,0|7.19686|20|220
0.95865934835922,0|0.1|10|21.5443|220
0.95865934835922,0|7.19686|10|20|220
0.95865934835922,0|7.19686|20|220|1000
0.95865934835922,0|0.1|10|20|21.5443|220
0.95865934835922,0|0.1|10|21.5443|220|1000
0.95865934835922,0|7.19686|10|20|220|1000
0.95865934835922,0|7.19686|20|220|500|1000
0.95865934835922,0|0.1|10|20|21.5443|220|1000
0.95865934835922,0|0.1|10|21.5443|220|500|1000
0.95865934835922,0|7.19686|10|20|220|500|1000
0.95865934835922,0|0.1|10|20|21.5443|220|500|1000
0.9585425668574098,0.1|7.19686|20|220
0.9585425668574098,0.1|7.19686|10|20|220
0.9585425668574098,0.1|7.19686|20|220|1000
0.9585425668574098,0.1|7.19686|10|20|220|1000
0.9585425668574098,0.1|7.19686|20|220|500|1000
0.9585425668574098,0.1|7.19686|10|20|220|500|1000
0.9584257853555996,0|0.1|7.19686|20|220
0.9584257853555996,0|0.1|7.19686|21.5443|220
0.9584257853555996,0|0.1|7.19686|10|20|220
0.9584257853555996,0|0.1|7.19686|10|21.5443|220
0.9584257853555996,0|0.1|7.19686|20|21.5443|220
0.9584257853555996,0|0.1|7.19686|20|220|1000
0.9584257853555996,0|0.1|7.19686|21.5443|220|1000
0.9584257853555996,0|0.1|7.19686|10|20|21.5443|220
0.9584257853555996,0|0.1|7.19686|10|20|220|1000
0.9584257853555996,0|0.1|7.19686|10|21.5443|220|1000
