market,variant,k,turnover,shifts,sharpe,maximum_drawdown
us,v8.5,0.0,4.942907180385289,336,0.5732402839546755,-0.21575732660667912
us,v8.5,2.0,3.677758318739054,250,0.5041349478536807,-0.2606373862416427
us,v8.5,4.0,2.5302977232924695,172,0.5589578590839303,-0.2442778999854518
us,v8.5,6.0,2.0007005253940453,136,0.5750699388186884,-0.22106001438234046
us,v8.5,8.0,1.6770577933450088,114,0.6495155295722062,-0.19722175932480723
us,v8.5,20.0,1.08861646234676,74,0.573968000907897,-0.21817952460964607
de,v8.5,0.0,4.116019530341782,281,0.37444061572759957,-0.38728184855907455
de,v8.5,2.0,3.2518019065333643,221,0.3616825465311149,-0.4608290588359565
de,v8.5,4.0,2.2557544757033248,154,0.4261905671182124,-0.4129961938799285
de,v8.5,6.0,1.8163217856312486,124,0.3591615936366684,-0.4121098103885975
de,v8.5,8.0,1.6112531969309463,110,0.34429052348385664,-0.3752240696109609
de,v8.5,20.0,1.0253429435015113,70,0.2514379259498587,-0.3579192081588207
jp,v8.5,0.0,7.028550863723608,465,0.08934900123773136,-0.6387345727711605
jp,v8.5,2.0,5.879798464491363,389,0.18741254888505388,-0.5293571577078837
jp,v8.5,4.0,3.597408829174664,237,0.19673425774307732,-0.5936887464703238
jp,v8.5,6.0,2.992802303262956,198,0.18086678554206975,-0.5316783662816398
jp,v8.5,8.0,2.56957773512476,170,0.19035650244497673,-0.5253359930970564
jp,v8.5,20.0,1.5115163147792705,100,0.20658288938232736,-0.4402762654982303
