market,variant,k,shifts,years,shifts_per_year,shu_table3
us,v8.5,0,404,41.982,9.623125081518195,8.5
us,v8.5,2,306,41.982,7.2888026607538805,6.6
us,v8.5,4,212,41.982,5.049758706143211,4.9
us,v8.5,6,168,41.982,4.001695578453111,
us,v8.5,8,136,41.982,3.2394678492239466,3.2
us,v8.5,20,90,41.982,2.1437654884570234,2.0
us,v9,0,356,41.982,8.47978348767445,8.5
us,v9,2,276,41.982,6.574214164601539,6.6
us,v9,4,204,41.982,4.85920177383592,4.9
us,v9,6,154,41.982,3.6682209469153513,
us,v9,8,130,41.982,3.0965501499934787,3.2
us,v9,20,80,41.982,1.9055693230729098,2.0
de,v8.5,0,340,41.982,8.098669623059866,8.5
de,v8.5,2,272,41.982,6.478935698447893,6.6
de,v8.5,4,192,41.982,4.573366375374984,4.9
de,v8.5,6,160,41.982,3.8111386461458197,
de,v8.5,8,144,41.982,3.430024781531238,3.2
de,v8.5,20,94,41.982,2.239043954610669,2.0
jp,v8.5,0,588,41.982,14.005934524585888,8.5
jp,v8.5,2,486,41.982,11.576333637667927,6.6
jp,v8.5,4,312,41.982,7.431720359984348,4.9
jp,v8.5,6,250,41.982,5.9549041346028435,
jp,v8.5,8,210,41.982,5.002119473066388,3.2
jp,v8.5,20,118,41.982,2.810714751532542,2.0
