start,end
1990-09-04 00:14:15.631061400,1990-09-12 01:28:14.852043764
1990-10-18 23:22:16.298280540,1990-10-31 23:31:02.074707800
1998-09-09 23:45:06.605837888,1998-11-02 00:07:07.375033568
1998-12-09 00:59:31.139330496,1998-12-28 23:36:57.036187584
1999-01-26 23:15:20.698507904,1999-02-01 01:08:28.691018688
1999-02-11 22:44:57.703406752,1999-03-07 23:28:35.691276288
1999-04-01 00:12:12.798151744,1999-04-13 00:34:01.792086528
1999-09-12 23:59:58.443676288,1999-12-28 00:43:59.982067648
2000-01-13 00:13:36.986966400,2000-08-24 22:52:03.522116480
2000-10-12 00:19:18.616861504,2001-01-29 00:24:11.383724544
2001-02-26 00:15:38.263552512,2001-08-17 01:30:26.347566784
2001-08-20 00:51:17.576038336,2002-01-03 01:00:39.559242560
2002-02-04 23:46:52.113521088,2002-04-10 00:43:44.213164864
2002-04-17 22:59:21.997081472,2003-08-29 00:41:52.480186624
2003-10-09 00:42:04.255447424,2003-10-24 00:24:44.477853888
2004-03-28 22:58:30.021401792,2004-04-20 23:55:10.345784704
2005-05-06 00:31:50.296563776,2005-05-20 00:27:33.736477632
2007-03-02 01:36:00.871172416,2007-03-09 00:04:40.991602048
2007-03-13 22:59:26.666052800,2007-04-09 23:03:55.882393984
2007-07-31 01:28:03.076782912,2007-10-01 23:39:36.075874240
2007-11-06 00:58:04.513197760,2008-05-06 00:02:24.827107712
2008-05-12 01:42:30.483105280,2008-05-15 01:03:21.711576832
2008-06-11 01:07:50.927918080,2009-07-02 00:26:14.216634112
2009-07-08 22:54:54.337064064,2009-08-07 01:31:40.317444480
2009-11-03 00:13:47.205903488,2009-11-17 00:09:30.645817472
2010-05-13 00:19:04.404282752,2010-08-17 00:15:12.275712512
2011-08-15 01:35:17.558106112,2012-01-12 01:40:22.100229888
2015-09-01 01:16:26.485408128,2015-09-28 01:20:54.820755072
2015-10-05 23:36:32.604671616,2015-10-18 23:45:18.381098752
2016-01-24 23:15:20.698507904,2016-03-11 01:08:40.466279808
2016-07-05 23:29:11.017059072,2016-07-17 23:51:00.010994048
2018-02-12 23:40:46.052109952,2018-03-08 00:37:26.376492928
2018-04-03 00:54:57.929347456,2018-04-24 23:06:19.153177984
2018-10-18 23:15:52.911642752,2019-01-17 00:30:17.445135616
2019-08-12 23:52:09.311900032,2019-09-08 23:56:37.647246976
2020-03-02 00:32:17.840727040,2020-06-04 00:54:30.385183872
2020-06-15 01:29:21.715632000,2020-06-21 23:58:02.717055872
2020-06-25 23:05:51.609014144,2020-07-09 23:01:34.167933952
2020-07-14 01:07:45.377952384,2020-07-17 00:28:36.606423808
2020-09-14 23:19:18.377043712,2020-12-02 00:11:53.916601472
2021-02-05 00:55:42.798737536,2021-02-17 01:17:31.792672512
2021-03-08 00:08:00.907037056,2021-03-22 23:50:41.129443584
2021-05-20 22:54:25.236576512,2021-05-31 23:29:16.567024640
2021-10-08 01:09:58.429799040,2021-10-14 23:38:38.550228992
2021-12-07 00:00:39.319424768,2022-01-10 01:32:10.974255488
2022-01-27 00:48:45.642641152,2023-04-10 00:42:12.918060544
2023-05-08 00:33:38.916894336,2023-05-19 01:08:30.247342336
2023-11-05 23:37:59.230804352,2023-11-21 23:07:36.235703040
