start,end,days,ours_long_shu_cash
1998-12-10,1998-12-24,11,11
2023-05-09,2023-05-19,9,9
1998-10-23,1998-11-02,7,7
1999-04-05,1999-04-13,7,7
1999-09-13,1999-09-21,7,7
2002-02-05,2002-02-13,7,7
2021-01-29,2021-02-05,6,0
2021-11-30,2021-12-07,6,0
2022-01-20,2022-01-27,6,0
2010-08-11,2010-08-17,5,5
2002-04-11,2002-04-17,5,0
2000-08-25,2000-08-31,5,0
1990-09-06,1990-09-12,5,5
1997-11-03,1997-11-07,5,0
1997-08-22,1997-08-28,5,0
1999-03-08,1999-03-12,5,0
2018-02-28,2018-03-06,5,5
2018-04-25,2018-05-01,5,0
2023-10-30,2023-11-03,5,0
2021-02-10,2021-02-17,5,5
2021-10-04,2021-10-08,5,0
2020-06-22,2020-06-25,4,0
2023-04-11,2023-04-14,4,0
2000-10-13,2000-10-18,4,4
1999-01-27,1999-02-01,4,4
1990-10-19,1990-10-24,4,4
2011-08-16,2011-08-19,4,4
2007-04-10,2007-04-13,4,0
1999-12-29,2000-01-03,4,0
2022-01-03,2022-01-06,4,4
2018-04-04,2018-04-09,4,4
2000-01-14,2000-01-20,4,4
1990-08-30,1990-09-04,3,0
2020-10-27,2020-10-29,3,3
1997-04-18,1997-04-22,3,0
2020-07-10,2020-07-14,3,0
2021-10-12,2021-10-14,3,3
1998-09-04,1998-09-09,3,0
1998-12-29,1998-12-30,2,0
1990-10-30,1990-10-31,2,2
1998-10-01,1998-10-02,2,2
1999-02-12,1999-02-16,2,2
2018-03-09,2018-03-12,2,0
2014-10-15,2014-10-16,2,0
2016-03-10,2016-03-11,2,2
2010-05-12,2010-05-13,2,0
2007-03-12,2007-03-13,2,0
2009-08-10,2009-08-11,2,0
2015-09-25,2015-09-28,2,2
2023-11-10,2023-11-13,2,2
2020-12-01,2020-12-02,2,2
2021-03-05,2021-03-08,2,0
2012-01-11,2012-01-12,2,2
2015-08-31,2015-09-01,2,0
2020-07-16,2020-07-17,2,2
2016-07-05,2016-07-05,1,0
2016-07-15,2016-07-15,1,1
2004-04-21,2004-04-21,1,0
2007-10-02,2007-10-02,1,0
2004-03-29,2004-03-29,1,1
2016-01-22,2016-01-22,1,0
2015-10-16,2015-10-16,1,1
2014-12-22,2014-12-22,1,0
2009-07-09,2009-07-09,1,1
2009-11-17,2009-11-17,1,1
2018-04-02,2018-04-02,1,0
2021-05-20,2021-05-20,1,0
2021-03-22,2021-03-22,1,1
2021-03-01,2021-03-01,1,0
2019-09-09,2019-09-09,1,0
2019-01-17,2019-01-17,1,1
2018-10-18,2018-10-18,1,0
2020-09-14,2020-09-14,1,0
2021-05-28,2021-05-28,1,1
2022-07-12,2022-07-12,1,1
2022-01-10,2022-01-10,1,1
2022-07-08,2022-07-08,1,1
2023-09-28,2023-09-28,1,0
2022-07-18,2022-07-18,1,1
2023-11-15,2023-11-15,1,1
2023-11-21,2023-11-21,1,1
