market,model,path,shu,A_total,B_excess,C_cumexc,D_flat,E_flat_cost,err_A_total,err_B_excess,err_C_cumexc,err_D_flat,err_E_flat_cost
us,buy_and_hold,đối chứng,-0.552,-0.5525024106969554,-0.5974432403342163,-0.7233897136083968,-0.5525024106969554,-0.5525024106969554,0.0005024106969553355,0.045443240334216206,0.17138971360839672,0.0005024106969553355,0.0005024106969553355
de,buy_and_hold,đối chứng,-0.727,-0.7268483329758143,-0.7554133722114577,-1.2480387347696027,-0.7268483329758143,-0.7268483329758143,0.00015166702418567546,0.028413372211457677,0.5210387347696027,0.00015166702418567546,0.00015166702418567546
jp,buy_and_hold,đối chứng,-0.791,-0.7793437155973023,-0.8224433389344933,-1.3212964706687802,-0.7793437155973023,-0.7793437155973023,0.011656284402697725,0.03144333893449325,0.5302964706687802,0.011656284402697725,0.011656284402697725
us,hmm,đường của ta,-0.289,-0.23211837419675108,-0.32190858530247446,-0.37083343085343967,-0.29235184370075074,-0.29940817922551277,0.0568816258032489,0.03290858530247448,0.08183343085343969,0.003351843700750756,0.010408179225512793
de,hmm,đường của ta,-0.405,-0.4019871423007396,-0.47366580951969117,-0.6128574300222428,-0.4385111729766794,-0.4474349219031172,0.0030128576992604073,0.06866580951969115,0.20785743002224277,0.03351117297667938,0.04243492190311715
jp,hmm,đường của ta,-0.486,-0.5173253550929853,-0.5698601325831283,-0.7537696022673724,-0.510087343941346,-0.5332923225397641,0.031325355092985285,0.0838601325831283,0.26776960226737245,0.02408734394134604,0.04729232253976412
us,hmm,Shu (hình),-0.289,-0.23025902515233598,-0.34650993280423636,-0.40012394049480815,-0.29429744301824545,-0.3096653877040607,0.058740974847663996,0.057509932804236386,0.11112394049480817,0.0052974430182454735,0.020665387704060734
us,fixed_jm,Shu (hình),-0.266,-0.26639191672473095,-0.26688751344985917,-0.29502531269684296,-0.26639191672473095,-0.2663919167247307,0.0003919167247309341,0.0008875134498591564,0.029025312696842942,0.0003919167247309341,0.00039191672473071204
de,fixed_jm,Shu (hình),-0.394,-0.37858313442419556,-0.4457264965971681,-0.5548396568882136,-0.41008812398050476,-0.4135878521067038,0.015416865575804461,0.0517264965971681,0.16083965688821356,0.016088123980504743,0.019587852106703774
jp,fixed_jm,Shu (hình),-0.453,-0.3955066572200998,-0.5048480062107271,-0.6276460034048543,-0.44583682007601255,-0.4589145462217553,0.0574933427799002,0.051848006210727104,0.1746460034048543,0.007163179923987462,0.005914546221755301
