market,delay,basis,cagr,shu_cagr,sharpe,shu_sharpe,calmar,shu_calmar,maximum_drawdown,err_calmar
us,1,risky_leg_wealth_flat_in_cash,0.0849601059322056,0.085,0.5470980664684345,0.54,0.2116867502237804,0.21,-0.29235184370075074,0.0016867502237803977
us,1,total_wealth,0.0849601059322056,0.085,0.5470980664684345,0.54,0.26661832321160817,0.21,-0.23211837419675152,0.056618323211608174
us,5,risky_leg_wealth_flat_in_cash,0.08902518371379142,0.086,0.5726755871127536,0.55,0.21517027646984202,0.28,-0.3059707976232413,0.064829723530158
us,5,total_wealth,0.08902518371379142,0.086,0.5726755871127536,0.55,0.25025448161424035,0.28,-0.26307549296070076,0.029745518385759673
us,10,risky_leg_wealth_flat_in_cash,0.09367687410100989,0.083,0.5960820073769203,0.51,0.28122666652308725,0.25,-0.25063107447294763,0.031226666523087254
us,10,total_wealth,0.09367687410100989,0.083,0.5960820073769203,0.51,0.36235022180660525,0.25,-0.19451938307007777,0.11235022180660525
de,1,risky_leg_wealth_flat_in_cash,0.06796435858820504,0.064,0.368095914944661,0.35,0.11749934252514699,0.12,-0.4385111729766794,0.0025006574748530075
de,1,total_wealth,0.06796435858820504,0.064,0.368095914944661,0.35,0.1281751804791395,0.12,-0.4019871423007396,0.00817518047913951
de,5,risky_leg_wealth_flat_in_cash,0.05399644075756527,0.051,0.2719771247691407,0.25,0.08835419426180305,0.09,-0.437686162621058,0.0016458057381969482
de,5,total_wealth,0.05399644075756527,0.051,0.2719771247691407,0.25,0.09719790571044705,0.09,-0.39786256663930963,0.007197905710447053
de,10,risky_leg_wealth_flat_in_cash,0.04095605522395451,0.031,0.18345641111272673,0.12,0.05803567351681471,0.04,-0.46095409919944486,0.01803567351681471
de,10,total_wealth,0.04095605522395451,0.031,0.18345641111272673,0.12,0.062384636765686306,0.04,-0.4288200267616338,0.022384636765686305
jp,1,risky_leg_wealth_flat_in_cash,0.022415727300098665,0.025,0.17710231189905581,0.19,0.05548416413548606,0.06,-0.510087343941346,0.004515835864513935
jp,1,total_wealth,0.022415727300098665,0.025,0.17710231189905581,0.19,0.054707873171205124,0.06,-0.5173253550929867,0.005292126828794874
jp,5,risky_leg_wealth_flat_in_cash,0.01706439513133362,0.012,0.14457693576275749,0.11,0.04562021905240677,0.03,-0.5160776907885205,0.015620219052406771
jp,5,total_wealth,0.01706439513133362,0.012,0.14457693576275749,0.11,0.04475242885889286,0.03,-0.5260849053817143,0.014752428858892865
jp,10,risky_leg_wealth_flat_in_cash,0.008641351440826561,0.005,0.09433645191715484,0.07,0.029820179814589166,0.02,-0.5213013264748116,0.009820179814589165
jp,10,total_wealth,0.008641351440826561,0.005,0.09433645191715484,0.07,0.028109550959814874,0.02,-0.5530255291265995,0.008109550959814874
