market,grid,candidates,turnover,shu_turnover,sharpe,shu_sharpe,maximum_drawdown,shu_mdd,shifts,top_candidate_share,within_tol,total_deviation,dev_cagr,dev_volatility,dev_sharpe,dev_maximum_drawdown,dev_calmar,dev_expected_shortfall_5pct,dev_turnover,dev_leverage
us,table3,0|2|4|8|20,1.6770577933450088,1.41,0.5550276285321202,0.54,-0.2923518437007515,-0.289,114,0.33014354066985646,7,0.2965746111935227,0.001036885274076485,0.0003341497743173799,0.01502762853212014,0.0033518437007515334,0.005163973603433097,2.5571056050888163e-05,0.2670577933450089,0.004576765907764235
us,table3_plus6,0|2|4|6|8|20,1.7064798598949213,1.41,0.5470980664684345,0.54,-0.29235184370075074,-0.289,116,0.33014354066985646,7,0.3128191190698854,3.989406779440763e-05,0.00011868110671373056,0.007098066468434472,0.003351843700750756,0.0016867502237803977,5.10288614306853e-05,0.2964798598949214,0.003992994746059519
us,filtered,2|4|6|8|20,1.4416812609457093,1.41,0.5717242720178999,0.54,-0.29235184370075074,-0.289,98,0.35167464114832536,8,0.08790099436371944,0.0032409553884211323,0.0006300886836405895,0.031724272017899846,0.003351843700750756,0.01221539262287541,1.3398167294450397e-05,0.03168126094570933,0.005043782837127919
us,bulla_only,6,1.8535901926444833,1.41,0.5013055265927482,0.54,-0.23431119226282593,-0.289,126,1.0,6,0.5812904055448256,0.005779949200934761,0.0002007687563519711,0.03869447340725185,0.05468880773717405,0.03133238140167771,9.198184236922438e-05,0.4435901926444834,0.006911850554582655
us,dense_small,2|4|6|8|10|12,1.5005253940455343,1.41,0.5411455696797927,0.54,-0.31480271432289775,-0.289,102,0.27751196172248804,7,0.13871853648690718,0.0008424644544263032,3.850941625467563e-05,0.001145569679792624,0.02580271432289777,0.01581930398757969,8.456890499840969e-05,0.09052539404553439,0.004460011675423314
us,dense_wide,4|8|12|16|20,1.294570928196147,1.41,0.5979436582989274,0.54,-0.2671143352076032,-0.289,88,0.0215311004784689,6,0.2520018535632235,0.006577114176457413,0.000798733615370209,0.057943658298927336,0.021885664792396786,0.044741966712023656,4.8878256431031386e-05,0.11542907180385287,0.004576765907764235
us,reach_low,2|4,2.912784588441331,1.41,0.4604088818570051,0.54,-0.25096342783827963,-0.289,198,0.4138755980861244,6,1.6477249331249837,0.010900668359863627,0.0006211723671964431,0.07959111814299491,0.03803657216172035,0.003833664050199831,2.4867056435083634e-05,1.5027845884413311,0.011932282545242257
us,reach_no_tail,0|2|4|6,2.912784588441331,1.41,0.4696167005818854,0.54,-0.2433755657471881,-0.289,198,0.5095693779904307,6,1.639965610734316,0.010375606226314768,0.0021412004297546305,0.07038329941811461,0.045624434252811874,0.003912779308038128,0.0001669367501864645,1.5027845884413311,0.004576765907764235
de,table3,0|2|4|8|20,2.16786793768891,2.46,0.39333355821376265,0.35,-0.4133729391140065,-0.405,148,0.0625,7,0.36498626515124094,0.007717826518679527,0.00011681650554837275,0.04333355821376267,0.008372939114006495,0.013101964574819075,4.136994309515349e-05,0.2921320623110901,0.00016972797023950825
de,table3_plus6,0|2|4|6|8|20,2.226458963031853,2.46,0.368095914944661,0.35,-0.4385111729766794,-0.405,152,0.052884615384615384,7,0.29181708699219217,0.003964358588205041,2.3509029061091757e-05,0.018095914944661007,0.03351117297667938,0.0025006574748530075,1.0709040346119914e-05,0.233541036968147,0.00016972797023950825
