start,position,length
1990-01-02,1.0,168
1990-08-30,0.0,5
1990-09-07,1.0,29
1990-10-18,0.0,8
1990-10-30,1.0,270
1991-11-22,0.0,3
1991-11-27,1.0,1451
1997-08-25,0.0,5
1997-09-02,1.0,45
1997-11-04,0.0,6
1997-11-12,1.0,204
1998-09-04,0.0,18
1998-10-01,1.0,2
1998-10-05,0.0,15
1998-10-26,1.0,32
1998-12-10,0.0,13
1998-12-30,1.0,3
1999-01-05,0.0,1
1999-01-06,1.0,27
1999-02-16,0.0,20
1999-03-16,1.0,13
1999-04-05,0.0,7
1999-04-14,1.0,104
1999-09-10,0.0,74
1999-12-27,1.0,12
2000-01-12,0.0,156
2000-08-24,1.0,33
2000-10-11,0.0,75
2001-01-30,1.0,19
2001-02-27,0.0,121
2001-08-20,1.0,1
2001-08-21,0.0,90
2002-01-04,1.0,22
2002-02-06,0.0,44
2002-04-11,1.0,6
2002-04-19,0.0,339
2003-08-22,1.0,28
2003-10-02,0.0,11
2003-10-17,1.0,112
2004-03-30,0.0,16
2004-04-22,1.0,263
2005-05-09,0.0,10
2005-05-23,1.0,447
2007-03-05,0.0,29
2007-04-16,1.0,75
2007-08-01,0.0,44
2007-10-03,1.0,25
2007-11-07,0.0,124
2008-05-07,1.0,4
2008-05-13,0.0,3
2008-05-16,1.0,18
2008-06-12,0.0,267
2009-07-06,1.0,4
2009-07-10,0.0,23
2009-08-12,1.0,59
2009-11-04,0.0,9
2009-11-17,1.0,120
2010-05-12,0.0,63
2010-08-11,1.0,260
2011-08-22,0.0,98
2012-01-11,1.0,694
2014-10-15,0.0,2
2014-10-17,1.0,45
2014-12-22,0.0,1
2014-12-23,1.0,172
2015-08-31,0.0,18
2015-09-25,1.0,7
2015-10-06,0.0,8
2015-10-16,1.0,66
2016-01-22,0.0,33
2016-03-10,1.0,80
2016-07-05,0.0,8
2016-07-15,1.0,398
2018-02-13,0.0,10
2018-02-28,1.0,5
2018-03-07,0.0,4
2018-03-13,1.0,13
2018-04-02,0.0,1
2018-04-03,1.0,5
2018-04-10,0.0,16
2018-05-02,1.0,118
2018-10-18,0.0,61
2019-01-17,1.0,143
2019-08-13,0.0,19
2019-09-10,1.0,120
2020-03-03,0.0,66
2020-06-05,1.0,7
2020-06-16,0.0,21
2020-07-16,1.0,41
2020-09-14,0.0,31
2020-10-27,1.0,3
2020-10-30,0.0,21
2020-12-01,1.0,40
2021-01-29,0.0,8
2021-02-10,1.0,12
2021-03-01,0.0,1
2021-03-02,1.0,3
2021-03-05,0.0,11
2021-03-22,1.0,42
2021-05-20,0.0,6
2021-05-28,1.0,88
2021-10-04,0.0,6
2021-10-12,1.0,34
2021-11-30,0.0,23
2022-01-03,1.0,4
2022-01-07,0.0,1
2022-01-10,1.0,7
2022-01-20,0.0,116
2022-07-08,1.0,1
2022-07-11,0.0,1
2022-07-12,1.0,1
2022-07-13,0.0,3
2022-07-18,1.0,1
2022-07-19,0.0,187
2023-04-17,1.0,114
2023-09-28,0.0,1
2023-09-29,1.0,21
2023-10-30,0.0,9
2023-11-10,1.0,2
2023-11-14,0.0,1
2023-11-15,1.0,1
2023-11-16,0.0,3
2023-11-21,1.0,27
