start,position,length
1990-01-02,1.0,171
1990-09-05,0.0,6
1990-09-13,1.0,26
1990-10-19,0.0,9
1990-11-01,1.0,1985
1998-09-10,0.0,38
1998-11-03,1.0,26
1998-12-10,0.0,12
1998-12-29,1.0,19
1999-01-27,0.0,4
1999-02-02,1.0,8
1999-02-12,0.0,15
1999-03-08,1.0,19
1999-04-05,0.0,7
1999-04-14,1.0,105
1999-09-13,0.0,75
1999-12-29,1.0,12
2000-01-14,0.0,155
2000-08-25,1.0,34
2000-10-13,0.0,73
2001-01-30,1.0,19
2001-02-27,0.0,121
2001-08-20,1.0,1
2001-08-21,0.0,90
2002-01-04,1.0,21
2002-02-05,0.0,45
2002-04-11,1.0,5
2002-04-18,0.0,346
2003-09-02,1.0,28
2003-10-10,0.0,11
2003-10-27,1.0,105
2004-03-29,0.0,16
2004-04-21,1.0,264
2005-05-09,0.0,10
2005-05-23,1.0,447
2007-03-05,0.0,5
2007-03-12,1.0,2
2007-03-14,0.0,18
2007-04-10,1.0,79
2007-08-01,0.0,43
2007-10-02,1.0,26
2007-11-07,0.0,124
2008-05-07,1.0,4
2008-05-13,0.0,3
2008-05-16,1.0,18
2008-06-12,0.0,267
2009-07-06,1.0,3
2009-07-09,0.0,22
2009-08-10,1.0,61
2009-11-04,0.0,10
2009-11-18,1.0,121
2010-05-14,0.0,66
2010-08-18,1.0,251
2011-08-16,0.0,104
2012-01-13,1.0,914
2015-09-02,0.0,18
2015-09-29,1.0,5
2015-10-06,0.0,9
2015-10-19,1.0,66
2016-01-25,0.0,34
2016-03-14,1.0,79
2016-07-06,0.0,8
2016-07-18,1.0,397
2018-02-13,0.0,17
2018-03-09,1.0,17
2018-04-04,0.0,15
2018-04-25,1.0,124
2018-10-19,0.0,61
2019-01-18,1.0,142
2019-08-13,0.0,18
2019-09-09,1.0,121
2020-03-03,0.0,66
2020-06-05,1.0,7
2020-06-16,0.0,4
2020-06-22,1.0,4
2020-06-26,0.0,9
2020-07-10,1.0,3
2020-07-15,0.0,3
2020-07-20,1.0,40
2020-09-15,0.0,56
2020-12-03,1.0,44
2021-02-08,0.0,7
2021-02-18,1.0,13
2021-03-09,0.0,10
2021-03-23,1.0,42
2021-05-21,0.0,6
2021-06-01,1.0,92
2021-10-11,0.0,4
2021-10-15,1.0,37
2021-12-08,0.0,23
2022-01-11,1.0,12
2022-01-28,0.0,300
2023-04-11,1.0,20
2023-05-09,0.0,9
2023-05-22,1.0,116
2023-11-06,0.0,12
2023-11-22,1.0,26
