variant,lambda,per_year_calendar,published
V0_expanding_sealed,0.0,7.238095238095238,9.7
V0_expanding_sealed,5.0,2.0,2.7
V0_expanding_sealed,15.0,1.3333333333333333,1.7
V0_expanding_sealed,35.0,0.5714285714285714,0.8
V0_expanding_sealed,70.0,0.47619047619047616,0.5
V0_expanding_sealed,150.0,0.2857142857142857,0.4
V1_window_scaler,0.0,15.071428571428571,9.7
V1_window_scaler,5.0,4.166666666666667,2.7
V1_window_scaler,15.0,2.4047619047619047,1.7
V1_window_scaler,35.0,1.3095238095238095,0.8
V1_window_scaler,70.0,0.8809523809523809,0.5
V1_window_scaler,150.0,0.42857142857142855,0.4
V2_author_recipe,0.0,15.023809523809524,9.7
V2_author_recipe,5.0,4.404761904761905,2.7
V2_author_recipe,15.0,2.5952380952380953,1.7
V2_author_recipe,35.0,1.2142857142857142,0.8
V2_author_recipe,70.0,0.8809523809523809,0.5
V2_author_recipe,150.0,0.5,0.4
