market,size,grid
de,2,40|500
de,2,150|500
de,2,150|1000
de,3,26.827|30|40
de,3,35|40|1000
de,3,80|150|1000
de,3,100|150|500
de,3,100|150|1000
de,3,150|500|1000
de,4,5|13.895|150|500
de,4,35|40|500|1000
de,4,80|100|150|1000
jp,3,10|50|220
jp,3,10|51.7947|220
jp,3,10|150|220
jp,3,22|30|1000
jp,4,1.9307|20|51.7947|220
jp,4,1.9307|21.5443|51.7947|220
jp,4,1.9307|22|50|220
jp,4,1.9307|22|51.7947|220
jp,4,3.72759|13.895|51.7947|220
jp,4,3.72759|20|51.7947|220
jp,4,3.72759|22|51.7947|220
jp,4,7.19686|10|51.7947|220
