market,cell,target,pass_rate,lattice_min,lattice_max,best_dev_given_others_pass,count_others_pass
de,cagr,0.086,0.9999678423133456,0.03204910815877171,0.09872565182549597,0.00648669666100013,2
de,volatility,0.164,1.0,0.13601795214801,0.21285304643648184,0.004308779741920288,2
de,sharpe,0.44,0.3038151042824104,0.12623684171400093,0.5022457963948146,0.043888033520529834,20
de,maximum_drawdown,-0.394,0.26669885921260206,-0.703787802879785,-0.27864162680576476,0.0022814810734543833,2
de,calmar,0.18,0.4606382072011257,0.031229357321990073,0.2379335090530701,0.011763216543105803,2
de,expected_shortfall_5pct,-0.025,1.0,-0.032026756406643125,-0.021767017559269932,0.0007869919145732859,2
de,turnover,1.7,0.00040889936526478327,0.029295512671471752,4.716577540106951,0.0008602650546385426,241041
de,leverage,0.84,0.4458380894464747,0.6843757265752151,0.9432690072076262,0.01588932806324106,13
de,BEST_within_tol,8.0,5.228892138935848e-07,2.0,8.0,,2
jp,cagr,0.047,0.998601154861423,-0.012330403237169274,0.05143912874237366,,0
jp,volatility,0.171,1.0,0.13172332964208042,0.19756293607895706,,0
jp,sharpe,0.31,0.027484515486064762,-0.04574344296325389,0.3546705069902589,,0
jp,maximum_drawdown,-0.453,0.21545917731389555,-0.8421800967534916,-0.28820285842295246,,0
jp,calmar,0.12,0.11780055639763258,-0.010249737755022218,0.1670286806335298,,0
jp,expected_shortfall_5pct,-0.026,1.0,-0.03054912712174305,-0.02151092482523059,,0
jp,turnover,0.72,0.01647617029698901,0.09069097888675624,6.635556621880998,,0
jp,leverage,0.75,1.550826095983341e-06,0.5056381957773513,0.7446017274472169,0.116242802303263,3789
jp,BEST_within_tol,8.0,0.0,2.0,7.0,,3789
