market,era,kind,days
de,pre_xetra_fixings,timing,185
de,pre_xetra_fixings,missing,21
de,pre_xetra_fixings,extra,4
de,harmonized_closes,timing,645
de,harmonized_closes,missing,7
de,harmonized_closes,extra,238
jp,reconstructed_tr,timing,689
jp,reconstructed_tr,missing,43
jp,reconstructed_tr,extra,252
jp,official_n225tr,timing,0
jp,official_n225tr,missing,27
jp,official_n225tr,extra,675
us,pre_2000,timing,0
us,pre_2000,missing,68
us,pre_2000,extra,0
us,2000_2011,timing,189
us,2000_2011,missing,0
us,2000_2011,extra,65
us,post_2012,timing,115
us,post_2012,missing,9
us,post_2012,extra,55
