market,partition,era,start,end,days,disagree_days,rate,concordance,f1
de,primary,pre_xetra_fixings,1990-01-02,1999-12-30,2505,210,0.08383233532934131,0.9161676646706587,0.4473684210526316
de,primary,harmonized_closes,2000-01-03,2023-12-27,6095,890,0.14602132895816242,0.8539786710418376,0.23728813559322032
jp,primary,reconstructed_tr,1990-01-04,2011-12-16,5401,984,0.18218848361414552,0.8178115163858545,0.36220472440944884
jp,primary,official_n225tr,2011-12-19,2023-12-27,2943,702,0.23853211009174313,0.7614678899082569,0.0
us,placebo_2000,pre_cut,1990-01-02,1999-12-31,2528,68,0.02689873417721519,0.9731012658227848,0.0
us,placebo_2000,post_cut,2000-01-03,2023-12-27,6035,433,0.07174813587406793,0.9282518641259321,0.33333333333333337
us,placebo_2012,pre_cut,1990-01-02,2011-12-16,5538,322,0.058143734200072225,0.9418562657999278,0.2580645161290323
us,placebo_2012,post_cut,2011-12-19,2023-12-27,3025,179,0.059173553719008266,0.9408264462809918,0.36363636363636365
us,placebo_3way,pre_2000,1990-01-02,1999-12-31,2528,68,0.02689873417721519,0.9731012658227848,0.0
us,placebo_3way,2000_2011,2000-01-03,2011-12-16,3010,254,0.08438538205980066,0.9156146179401994,0.2962962962962963
us,placebo_3way,post_2012,2011-12-19,2023-12-27,3025,179,0.059173553719008266,0.9408264462809918,0.36363636363636365
jp,descriptive_span,mirror_hole_bridge,2020-07-09,2022-05-31,460,222,0.4826086956521739,0.5173913043478261,
de,cash_splice,pre_splice,1990-01-02,2007-08-31,4457,476,0.10679829481714158,0.8932017051828585,0.35789473684210527
de,cash_splice,post_splice,2007-09-03,2023-12-27,4143,624,0.15061549601737872,0.8493845039826213,0.2828282828282828
jp,cash_splice,pre_splice,1990-01-04,2017-06-30,6760,1103,0.1631656804733728,0.8368343195266272,0.338235294117647
jp,cash_splice,post_splice,2017-07-03,2023-12-27,1584,583,0.3680555555555556,0.6319444444444444,0.0
