market,basis,their_date,our_date,direction,lag,matched
us,v94_recon,2000-03-29,2000-03-31,-1,2,True
us,v94_recon,2000-04-28,2000-04-28,1,0,True
us,v94_recon,2007-08-15,2007-08-16,1,1,True
us,v94_recon,2011-08-19,2011-08-10,1,-7,True
us,v94_recon,2019-01-09,2019-01-02,-1,-5,True
us,v94_recon,2020-03-12,2020-03-09,1,-3,True
us,v94_recon,2020-06-03,2020-06-04,-1,1,True
us,v94_recon,2022-04-04,2022-04-19,-1,10,True
us,v94_recon,2022-04-08,2022-04-22,1,9,True
us,v94_recon,2023-05-22,2023-05-10,-1,-8,True
us,v94_recon,1990-01-22,,1,,False
us,v94_recon,1990-04-12,,-1,,False
us,v94_recon,1990-04-23,,1,,False
us,v94_recon,1990-05-08,,-1,,False
us,v94_recon,2000-01-27,,1,,False
us,v94_recon,2003-05-28,,-1,,False
us,v94_recon,2007-09-05,,-1,,False
us,v94_recon,2007-09-07,,1,,False
us,v94_recon,2007-09-25,,-1,,False
us,v94_recon,2008-01-04,,1,,False
us,v94_recon,2009-06-18,,-1,,False
us,v94_recon,2011-10-24,,-1,,False
us,v94_recon,2018-12-24,,1,,False
us,v94_recon,2022-01-27,,1,,False
us,v94_recon,2022-02-09,,-1,,False
us,v94_recon,2022-02-16,,1,,False
us,v94_recon,2022-08-16,,-1,,False
us,v94_recon,2022-09-01,,1,,False
us,v94_recon,2023-02-03,,-1,,False
us,v94_recon,2023-02-10,,1,,False
us,v94_recon,,2000-01-04,1,,False
us,v94_recon,,2000-03-24,-1,,False
us,v94_recon,,2000-03-27,1,,False
us,v94_recon,,2003-05-02,-1,,False
us,v94_recon,,2004-05-19,1,,False
us,v94_recon,,2004-05-25,-1,,False
us,v94_recon,,2006-06-13,1,,False
us,v94_recon,,2006-08-18,-1,,False
us,v94_recon,,2007-03-12,1,,False
us,v94_recon,,2007-03-30,-1,,False
us,v94_recon,,2009-04-30,-1,,False
us,v94_recon,,2012-01-27,-1,,False
us,v94_recon,,2012-01-31,1,,False
us,v94_recon,,2012-02-29,-1,,False
us,v94_recon,,2015-08-24,1,,False
us,v94_recon,,2015-08-31,-1,,False
us,v94_recon,,2016-01-19,1,,False
us,v94_recon,,2016-01-29,-1,,False
us,v94_recon,,2018-02-08,1,,False
us,v94_recon,,2018-03-09,-1,,False
us,v94_recon,,2018-03-27,1,,False
us,v94_recon,,2018-03-29,-1,,False
us,v94_recon,,2018-11-01,1,,False
us,v94_recon,,2022-03-08,1,,False
us,best_const,2003-05-28,2003-06-05,-1,6,True
us,best_const,2007-08-15,2007-08-16,1,1,True
us,best_const,2009-06-18,2009-07-01,-1,9,True
us,best_const,2011-08-19,2011-08-10,1,-7,True
us,best_const,2019-01-09,2019-01-02,-1,-5,True
us,best_const,2020-03-12,2020-03-09,1,-3,True
us,best_const,2020-06-03,2020-06-04,-1,1,True
us,best_const,2022-04-04,2022-04-19,-1,10,True
us,best_const,2022-04-08,2022-04-22,1,9,True
us,best_const,2023-05-22,2023-05-10,-1,-8,True
us,best_const,1990-01-22,,1,,False
us,best_const,1990-04-12,,-1,,False
us,best_const,1990-04-23,,1,,False
us,best_const,1990-05-08,,-1,,False
us,best_const,2000-01-27,,1,,False
us,best_const,2000-03-29,,-1,,False
us,best_const,2000-04-28,,1,,False
us,best_const,2007-09-05,,-1,,False
us,best_const,2007-09-07,,1,,False
us,best_const,2007-09-25,,-1,,False
us,best_const,2008-01-04,,1,,False
us,best_const,2011-10-24,,-1,,False
us,best_const,2018-12-24,,1,,False
us,best_const,2022-01-27,,1,,False
us,best_const,2022-02-09,,-1,,False
us,best_const,2022-02-16,,1,,False
us,best_const,2022-08-16,,-1,,False
us,best_const,2022-09-01,,1,,False
us,best_const,2023-02-03,,-1,,False
us,best_const,2023-02-10,,1,,False
us,best_const,,2000-01-03,1,,False
us,best_const,,2012-01-27,-1,,False
us,best_const,,2018-11-01,1,,False
us,best_const,,2022-03-08,1,,False
us,v10_selected,2000-03-29,2000-03-31,-1,2,True
us,v10_selected,2000-04-28,2000-04-28,1,0,True
us,v10_selected,2003-05-28,2003-05-16,-1,-7,True
us,v10_selected,2007-08-15,2007-08-09,1,-4,True
us,v10_selected,2011-08-19,2011-08-18,1,-1,True
us,v10_selected,2018-12-24,2018-12-27,1,2,True
us,v10_selected,2020-03-12,2020-03-12,1,0,True
us,v10_selected,2022-02-16,2022-02-14,1,-2,True
us,v10_selected,2022-08-16,2022-08-19,-1,3,True
us,v10_selected,2022-09-01,2022-08-26,1,-4,True
us,v10_selected,2023-02-03,2023-02-13,-1,6,True
us,v10_selected,1990-01-22,,1,,False
us,v10_selected,1990-04-12,,-1,,False
us,v10_selected,1990-04-23,,1,,False
us,v10_selected,1990-05-08,,-1,,False
us,v10_selected,2000-01-27,,1,,False
us,v10_selected,2007-09-05,,-1,,False
us,v10_selected,2007-09-07,,1,,False
us,v10_selected,2007-09-25,,-1,,False
us,v10_selected,2008-01-04,,1,,False
us,v10_selected,2009-06-18,,-1,,False
us,v10_selected,2011-10-24,,-1,,False
us,v10_selected,2019-01-09,,-1,,False
us,v10_selected,2020-06-03,,-1,,False
us,v10_selected,2022-01-27,,1,,False
us,v10_selected,2022-02-09,,-1,,False
us,v10_selected,2022-04-04,,-1,,False
us,v10_selected,2022-04-08,,1,,False
us,v10_selected,2023-02-10,,1,,False
us,v10_selected,2023-05-22,,-1,,False
us,v10_selected,,2000-01-04,1,,False
us,v10_selected,,2000-03-24,-1,,False
us,v10_selected,,2000-03-27,1,,False
us,v10_selected,,2006-06-21,1,,False
us,v10_selected,,2006-08-17,-1,,False
us,v10_selected,,2007-10-15,-1,,False
us,v10_selected,,2007-11-07,1,,False
us,v10_selected,,2009-04-30,-1,,False
us,v10_selected,,2012-02-09,-1,,False
us,v10_selected,,2018-04-13,1,,False
us,v10_selected,,2018-04-16,-1,,False
us,v10_selected,,2018-10-29,1,,False
