market,basis,precision,recall,f1,matched,unmatched_theirs,unmatched_ours,median_lag,mean_lag
de,best_const,0.45652173913043476,0.18421052631578946,0.2625,21,93,25,3.0,1.9047619047619047
de,v10_selected,0.3333333333333333,0.05263157894736842,0.09090909090909091,6,108,12,-1.0,0.0
de,v94_recon,0.3875,0.2719298245614035,0.3195876288659794,31,83,49,3.0,2.4516129032258065
jp,best_const,0.13636363636363635,0.0625,0.08571428571428572,3,45,19,2.0,-1.3333333333333333
jp,v10_selected,0.32608695652173914,0.3125,0.3191489361702128,15,33,31,3.0,1.8
jp,v94_recon,0.24731182795698925,0.4791666666666667,0.326241134751773,23,25,70,-1.0,-0.8695652173913043
us,best_const,0.7142857142857143,0.3333333333333333,0.4545454545454545,10,20,4,1.0,1.3
us,hmm_vs_fig6,0.7049180327868853,0.8958333333333334,0.7889908256880733,86,10,36,-1.0,-0.9418604651162791
us,v10_selected,0.36666666666666664,0.36666666666666664,0.36666666666666664,11,19,19,0.0,-0.45454545454545453
us,v94_recon,0.29411764705882354,0.3333333333333333,0.3125,10,20,24,0.5,0.0
