grid,start,end,days,override_pnl
g1_table3,1990-10-31,1990-12-28,41,0.0
g1_table3,1995-10-31,1996-01-30,63,0.0
g1_table3,2012-01-31,2012-02-28,20,-0.014375000205468592
g1_table3,2016-01-29,2017-04-27,314,-0.001214294423585796
g2_v10_us,1990-01-02,1990-05-30,104,0.0
g2_v10_us,1990-10-31,1991-02-27,82,0.0
g2_v10_us,1991-04-30,1991-08-29,86,0.0
g2_v10_us,1995-11-30,1996-01-30,42,0.0
g2_v10_us,2000-03-31,2000-04-27,19,0.0
g2_v10_us,2009-04-30,2017-02-27,1971,-0.024235382060775412
g2_v10_us,2018-11-30,2018-12-28,19,-0.11672660161990674
g2_v10_us,2019-02-28,2019-07-30,106,0.0
g2_v10_us,2020-02-28,2020-03-30,22,-0.06068496802936012
