block,date,lam,val_sharpe
0,2005-01-03,35.0,0.14506629512094696
1,2005-06-30,400.0,0.6738204779317246
2,2005-12-23,400.0,1.2295526259372573
3,2006-06-23,150.0,1.1490855127796247
4,2006-12-18,400.0,1.2201198797284127
5,2007-06-21,20.0,2.0131545079754125
6,2007-12-14,400.0,1.4911338017174638
7,2008-06-19,20.0,1.030606814569146
8,2008-12-12,150.0,0.5972650431443822
9,2009-06-18,250.0,0.5499589040778358
10,2009-12-11,100.0,0.3718816110515912
11,2010-06-15,100.0,0.0707276644590913
12,2010-12-08,100.0,0.3942840257905449
13,2011-06-08,100.0,0.7519442417282283
14,2011-12-02,150.0,0.21826846704977643
15,2012-06-01,50.0,0.2632719242690676
16,2012-11-27,10.0,0.2513838833925554
17,2013-06-03,10.0,0.5236455938246698
18,2013-11-27,20.0,0.762082821574316
19,2014-06-03,10.0,0.8841957505941356
20,2014-11-27,10.0,1.0308888357356911
21,2015-06-04,75.0,1.2197553360476492
22,2015-11-27,400.0,0.8829547758119288
23,2016-06-01,35.0,0.3000606833971164
24,2016-11-25,150.0,0.07012107978051699
25,2017-05-26,250.0,0.3201382560062178
26,2017-11-23,100.0,0.4022550084190271
27,2018-05-29,250.0,0.15648444908910716
28,2018-11-22,150.0,-0.06377406305252671
29,2019-05-29,20.0,0.3249091593439473
30,2019-11-25,100.0,0.6392194532610314
31,2020-05-29,50.0,-0.16910816809289275
32,2020-11-24,10.0,-0.27090594551662106
33,2021-05-28,10.0,0.22932570050128998
34,2021-11-22,20.0,0.5996257854908182
35,2022-05-23,400.0,0.3436310089200703
36,2022-11-15,50.0,0.04633514457517054
37,2023-05-16,35.0,0.8541134250968588
38,2023-11-08,35.0,0.7083495543441441
39,2024-05-10,35.0,0.7877782844961552
