block,date,lam,val_sharpe
0,2005-01-03,75.0,0.7090900725048814
1,2005-07-05,75.0,0.567717375336585
2,2006-01-03,75.0,0.7895842773491977
3,2006-07-05,400.0,0.711427546929441
4,2007-01-04,400.0,0.7931267871165633
5,2007-07-06,100.0,1.0309309608153716
6,2008-01-04,250.0,0.6388309053246323
7,2008-07-07,250.0,0.5431736586390878
8,2009-01-05,150.0,0.48746715074547803
9,2009-07-07,150.0,0.5778719952942503
10,2010-01-05,35.0,0.5127744267320198
11,2010-07-07,20.0,0.08319987206166302
12,2011-01-04,20.0,0.789782610878346
13,2011-07-06,20.0,0.7495947892527239
14,2012-01-04,10.0,0.45502429866807886
15,2012-07-05,10.0,0.6128685458898907
16,2013-01-07,75.0,0.3116811133219908
17,2013-07-09,5.0,0.7011721388924892
18,2014-01-07,5.0,0.7517488713387965
19,2014-07-09,5.0,0.8229243663114849
20,2015-01-07,400.0,1.3220445389997133
21,2015-07-09,400.0,1.2476442260978933
22,2016-01-07,400.0,0.8750411799960139
23,2016-07-08,400.0,0.6554668953011691
24,2017-01-06,400.0,0.5890205360644364
25,2017-07-10,400.0,0.6021813070301357
26,2018-01-08,400.0,0.8364853889549446
27,2018-07-10,400.0,0.636394205157927
28,2019-01-09,35.0,0.9479797865057461
29,2019-07-11,100.0,1.0704587096371452
30,2020-01-09,100.0,1.0812700658671794
31,2020-07-10,75.0,0.5104784903144461
32,2021-01-08,50.0,0.5325675651073087
33,2021-07-12,75.0,0.8973038838018075
34,2022-01-07,75.0,1.0688951690592443
35,2022-07-12,100.0,0.7267456250642111
36,2023-01-10,100.0,0.6415072603970374
37,2023-07-13,100.0,1.2692530581028463
38,2024-01-11,100.0,0.9894175143173153
39,2024-07-15,150.0,0.9673008498438721
