block,date,lam,val_sharpe
0,2005-01-04,400.0,0.5379129799282694
1,2005-07-08,100.0,0.6256877656409452
2,2006-01-16,100.0,1.2925300778347848
3,2006-07-18,150.0,0.9896274896025021
4,2007-01-22,10.0,1.0950595192935264
5,2007-07-25,10.0,0.9872250382017078
6,2008-01-31,10.0,0.9273839249728272
7,2008-08-04,5.0,0.9419057765571802
8,2009-02-10,400.0,0.03035508274342775
9,2009-08-14,75.0,0.1123700515218925
10,2010-02-24,250.0,-0.3649144349628186
11,2010-08-30,10.0,-0.4650494258039347
12,2011-03-09,10.0,-0.022076302687134217
13,2011-09-09,10.0,-0.486509100540872
14,2012-03-16,100.0,-0.20002345337821198
15,2012-09-18,100.0,-0.5008771268279644
16,2013-03-27,150.0,0.3593135161828505
17,2013-09-27,150.0,0.7454643658400866
18,2014-04-07,250.0,0.5027968908493127
19,2014-10-08,10.0,0.8817545852629937
20,2015-04-15,400.0,1.0646293863882266
21,2015-10-21,100.0,1.124632456520244
22,2016-04-26,150.0,0.7489481408165197
23,2016-11-01,100.0,0.4517736276784415
24,2017-05-10,75.0,0.6635448047181292
25,2017-11-09,35.0,0.8644840573366179
26,2018-05-18,50.0,0.45688215473419974
27,2018-11-15,20.0,0.4387486109625396
28,2019-05-31,20.0,0.557766953984203
29,2019-12-04,20.0,0.7389618342186097
30,2020-06-15,400.0,0.28718335844489323
31,2020-12-18,400.0,0.3764046048883799
32,2021-06-25,400.0,0.4728505079478482
33,2021-12-29,400.0,0.579147145976439
34,2022-07-07,75.0,0.07254493278667293
35,2023-01-13,75.0,-0.06983506350839704
36,2023-07-18,250.0,0.7368119044561434
37,2024-01-23,400.0,0.6573855490288574
38,2024-07-26,150.0,0.6730940839665103
