block,date,lam_bar,ratio,lam_out,lam_in,delta,d_bull,d_bear,val_sharpe
0,2005-01-03,100.0,0.7630473905218957,114.47858276529146,87.35258384970051,0.27043513885072645,556.6666666666666,425.0,0.049090464209170626
1,2005-06-30,150.0,0.7644057623049221,171.5652324198146,131.14545227288954,0.26865652830727615,556.3333333333334,425.5,0.2963751906985044
2,2005-12-23,100.0,0.7671274038461542,114.1737462816744,87.58580957245037,0.265102384699615,555.6666666666666,426.5,0.5819323535892006
3,2006-06-23,150.0,0.7671274038461542,171.2606194225116,131.37871435867558,0.265102384699615,555.6666666666666,426.5,0.7313053100797491
4,2006-12-18,150.0,0.7671274038461542,171.2606194225116,131.37871435867558,0.265102384699615,555.6666666666666,426.5,1.0787375959468426
5,2007-06-21,250.0,1.0,250.0,250.0,0.0,917.5,685.0,1.3524552280802686
6,2007-12-14,100.0,0.7644057623049221,114.37682161320974,87.43030151525969,0.26865652830727615,556.3333333333334,425.5,1.265099256566982
7,2008-06-19,1000.0,1.0,1000.0,1000.0,0.0,2520.0,,0.9276998108578036
8,2008-12-12,75.0,0.5744680851063831,98.95285072531597,56.84525467199004,0.5543107357057293,800.0,460.0,0.8440069777310808
9,2009-06-18,150.0,0.7092391304347826,178.11271131234423,126.3245044905485,0.34356253084623756,737.0,523.0,0.8652048752487249
10,2009-12-11,75.0,1.0049800796812756,74.81394166327048,75.18652105402388,-0.004967720101935136,503.0,505.5,0.8271479461083614
11,2010-06-15,50.0,1.0049800796812756,49.87596110884699,50.12434736934925,-0.004967720101935136,503.0,505.5,0.8592178224481287
12,2010-12-08,75.0,0.5823899371069182,98.27755248180664,57.23585760890121,0.5406150605680979,796.0,464.0,0.6842876860575563
13,2011-06-08,75.0,0.46279069767441866,110.2475515059873,51.021541278352274,0.7704803839631156,861.0,399.0,0.6574659775908598
14,2011-12-02,50.0,0.3685356559608055,82.36263798527614,30.353568816566096,0.9982178123028511,613.3333333333334,226.66666666666666,0.33193537628357345
15,2012-06-01,1000.0,1.0,1000.0,1000.0,0.0,2520.0,,-0.038041113591612205
16,2012-11-27,1000.0,1.0,1000.0,1000.0,0.0,2520.0,,0.08569200161940603
17,2013-06-03,75.0,0.3110897743638983,134.46782969254102,41.83156679825569,1.1676737449086971,695.3333333333334,217.0,0.4280376605783004
18,2013-11-27,1000.0,1.0,1000.0,1000.0,0.0,2520.0,,0.7233326516306119
19,2014-06-03,1000.0,1.0,1000.0,1000.0,0.0,2520.0,,0.800915103738317
20,2014-11-27,1000.0,1.0,1000.0,1000.0,0.0,2520.0,,0.6351747602929941
21,2015-06-04,1000.0,1.0,1000.0,1000.0,0.0,2520.0,,0.7104192134076555
22,2015-11-27,1000.0,1.0,1000.0,1000.0,0.0,2520.0,,0.5676914716841948
23,2016-06-01,1000.0,1.0,1000.0,1000.0,0.0,2520.0,,0.4389178678557645
24,2016-11-25,1000.0,1.0,1000.0,1000.0,0.0,2520.0,,0.674575295244105
25,2017-05-26,1000.0,1.0,1000.0,1000.0,0.0,2520.0,,0.900376629236919
26,2017-11-23,1000.0,1.0,1000.0,1000.0,0.0,2520.0,,0.7301298819006036
27,2018-05-29,1000.0,1.0,1000.0,1000.0,0.0,2520.0,,0.5794156455655767
28,2018-11-22,1000.0,1.0,1000.0,1000.0,0.0,2520.0,,0.2901431377886847
29,2019-05-29,1000.0,1.0,1000.0,1000.0,0.0,2520.0,,0.30265449764064517
30,2019-11-25,1000.0,1.0,1000.0,1000.0,0.0,2520.0,,0.3997082767900232
31,2020-05-29,1000.0,1.0,1000.0,1000.0,0.0,2520.0,,0.1520793147524461
32,2020-11-24,400.0,1.0,400.0,400.0,0.0,2520.0,,0.29685699912990027
33,2021-05-28,1000.0,1.0,1000.0,1000.0,0.0,2520.0,,0.5170698091229948
34,2021-11-22,1000.0,1.0,1000.0,1000.0,0.0,2520.0,,0.5394486449670249
35,2022-05-23,1000.0,1.0,1000.0,1000.0,0.0,2520.0,,0.20122624880511922
36,2022-11-15,1000.0,1.0,1000.0,1000.0,0.0,2520.0,,0.1920259574331924
37,2023-05-16,20.0,0.7361202908129542,23.31071534844259,17.15949056135355,0.3063617350033372,169.11111111111111,124.75,0.3879925359798785
38,2023-11-08,1000.0,1.0,1000.0,1000.0,0.0,2520.0,,0.3913499443178629
39,2024-05-10,1000.0,1.0,1000.0,1000.0,0.0,2520.0,,0.5367210949025213
