block,date,lam_bar,ratio,lam_out,lam_in,val_sharpe
0,2005-01-03,20.0,0.1111111111111111,60.0,6.666666666666666,0.06401821437431304
1,2005-07-05,10.0,3.0,5.773502691896258,17.32050807568877,0.14944261595617672
2,2006-01-03,250.0,0.1111111111111111,750.0,83.33333333333333,0.5275058403122107
3,2006-07-05,100.0,0.3333333333333333,173.20508075688775,57.735026918962575,0.6147660372920133
4,2007-01-04,100.0,0.1111111111111111,300.0,33.33333333333333,0.8667884894514124
5,2007-07-06,100.0,0.1111111111111111,300.0,33.33333333333333,0.951164357906399
6,2008-01-04,35.0,0.1111111111111111,105.0,11.666666666666666,0.8459489894435468
7,2008-07-07,75.0,0.3333333333333333,129.9038105676658,43.30127018922193,0.7512328949391608
8,2009-01-05,75.0,0.3333333333333333,129.9038105676658,43.30127018922193,0.5708043384400607
9,2009-07-07,35.0,0.1111111111111111,105.0,11.666666666666666,0.5897561538697365
10,2010-01-05,35.0,0.1111111111111111,105.0,11.666666666666666,0.705633375706627
11,2010-07-07,35.0,0.1111111111111111,105.0,11.666666666666666,0.5825237670431949
12,2011-01-04,35.0,0.1111111111111111,105.0,11.666666666666666,0.6728704957285893
13,2011-07-06,35.0,0.1111111111111111,105.0,11.666666666666666,0.7021633243607182
14,2012-01-04,35.0,0.1111111111111111,105.0,11.666666666666666,0.36246905201994195
15,2012-07-05,150.0,0.1111111111111111,450.0,50.0,0.2640380758937638
16,2013-01-07,150.0,0.1111111111111111,450.0,50.0,0.5748901297308617
17,2013-07-09,150.0,0.1111111111111111,450.0,50.0,0.7070359995349733
18,2014-01-07,600.0,0.1111111111111111,1800.0,200.0,0.9376574334957205
19,2014-07-09,1000.0,1.0,1000.0,1000.0,1.062822090998397
20,2015-01-07,1000.0,1.0,1000.0,1000.0,0.7864525786959187
21,2015-07-09,1000.0,1.0,1000.0,1000.0,0.9339753206596284
22,2016-01-07,1000.0,1.0,1000.0,1000.0,0.6505347850683026
23,2016-07-08,1000.0,1.0,1000.0,1000.0,0.6348258434102032
24,2017-01-06,75.0,9.0,25.0,225.0,1.0065365276274711
25,2017-07-10,50.0,9.0,16.666666666666668,150.0,1.02861771078402
26,2018-01-08,50.0,3.0,28.86751345948129,86.60254037844386,1.1910014472220176
27,2018-07-10,50.0,9.0,16.666666666666668,150.0,0.9217153603411282
28,2019-01-09,50.0,3.0,28.86751345948129,86.60254037844386,0.624158456425125
29,2019-07-11,1000.0,1.0,1000.0,1000.0,0.6946733856269196
30,2020-01-09,1000.0,1.0,1000.0,1000.0,0.7473991454933074
31,2020-07-10,1000.0,1.0,1000.0,1000.0,0.5274726397059449
32,2021-01-08,10.0,0.1111111111111111,30.0,3.333333333333333,0.8929257155830862
33,2021-07-12,10.0,0.1111111111111111,30.0,3.333333333333333,1.0316377661469625
34,2022-01-07,20.0,0.3333333333333333,34.64101615137755,11.547005383792515,1.0235213568380042
35,2022-07-12,20.0,1.0,20.0,20.0,0.8200198018863404
36,2023-01-10,20.0,1.0,20.0,20.0,0.5062516051420854
37,2023-07-13,35.0,3.0,20.207259421636902,60.6217782649107,0.7591606243934479
38,2024-01-11,35.0,1.0,35.0,35.0,0.8493180858166256
39,2024-07-15,150.0,9.0,50.0,450.0,0.9609958036868509
