model,lambda,path,n_switches,exact_match,total_cost
fixed,0.0,0110011000,4,False,-6.0
fixed,0.25,0110011000,4,False,-5.0
fixed,0.5,0110011000,4,False,-4.0
fixed,0.75,0110011000,4,False,-3.0
fixed,1.0,0110011000,4,False,-2.0
fixed,1.25,0110011000,4,False,-1.0
fixed,1.5,0110011000,4,False,0.0
fixed,1.75,0110011000,4,False,1.0
fixed,2.0,0110000000,2,False,2.0
fixed,2.25,0110000000,2,False,2.5
fixed,2.5,0110000000,2,False,3.0
fixed,2.75,0110000000,2,False,3.5
fixed,3.0,0000000000,0,False,4.0
fixed,3.25,0000000000,0,False,4.0
fixed,3.5,0000000000,0,False,4.0
fixed,3.75,0000000000,0,False,4.0
fixed,4.0,0000000000,0,False,4.0
fixed,4.25,0000000000,0,False,4.0
fixed,4.5,0000000000,0,False,4.0
fixed,4.75,0000000000,0,False,4.0
fixed,5.0,0000000000,0,False,4.0
adaptive,"high_noise=4.0,true_shock=0.5",0000011000,2,True,1.0
